%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709577250862101189,0,27.0,27.0,29.0,34.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577250888060257,0,27.0,35.0,26.0,26.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577250916744611,0,27.0,26.0,28.0,25.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577250941876331,0,26.0,28.0,27.0,23.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577250966672882,0,27.0,25.0,27.0,23.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577250990707807,0,26.0,27.0,26.0,27.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251016185588,0,25.0,28.0,25.0,33.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251041292473,0,26.0,26.0,37.0,25.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251071219880,0,26.0,27.0,33.0,24.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251095352460,0,27.0,34.0,27.0,33.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251120170031,0,34.0,27.0,27.0,25.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251144971180,0,31.0,26.0,36.0,35.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251169421235,0,36.0,25.0,28.0,24.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251194551992,0,34.0,26.0,28.0,24.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251223667235,0,26.0,26.0,27.0,25.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251248887769,0,25.0,27.0,27.0,26.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251273635655,0,24.0,27.0,27.0,26.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251296799721,0,25.0,33.0,27.0,33.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251322061872,0,32.0,26.0,34.0,25.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251350965957,0,31.0,25.0,26.0,25.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
1709577251376214519,0,33.0,26.0,30.0,34.0,21.891597747802734,24.751998901367188,24.99939727783203,26.76700210571289
