%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706611690004149671,0,88.0,91.0,88.0,88.0
1706611690034506773,0,88.0,91.0,88.0,87.0
1706611690065288122,0,88.0,91.0,88.0,88.0
1706611690096395557,0,88.0,91.0,88.0,89.0
1706611690127557169,0,88.0,90.0,87.0,89.0
1706611690158773031,0,89.0,90.0,88.0,89.0
1706611690189196277,0,89.0,90.0,88.0,89.0
1706611690220265753,0,90.0,90.0,89.0,90.0
1706611690251511507,0,89.0,91.0,89.0,90.0
1706611690282368072,0,90.0,91.0,89.0,90.0
1706611690312311089,0,88.0,91.0,88.0,90.0
1706611690342723812,0,89.0,91.0,88.0,89.0
1706611690373079094,0,89.0,92.0,87.0,91.0
1706611690403532669,0,90.0,91.0,88.0,90.0
1706611690434908835,0,90.0,90.0,88.0,90.0
1706611690465480329,0,90.0,90.0,89.0,88.0
1706611690496263297,0,89.0,90.0,89.0,88.0
1706611690528035709,0,89.0,91.0,89.0,87.0
1706611690559465156,0,89.0,91.0,88.0,88.0
1706611690590540478,0,90.0,90.0,88.0,88.0
1706611690621604579,0,89.0,90.0,88.0,90.0
1706611690651485575,0,89.0,89.0,88.0,89.0
1706611690683267285,0,88.0,90.0,88.0,89.0
1706611690713523300,0,88.0,90.0,88.0,88.0
1706611690744268112,0,88.0,90.0,88.0,88.0
1706611690776160719,0,89.0,90.0,90.0,88.0
1706611690805779532,0,89.0,91.0,89.0,89.0
1706611690836988004,0,88.0,92.0,87.0,90.0
1706611690867335760,0,89.0,92.0,86.0,89.0
1706611690898403806,0,89.0,92.0,87.0,88.0
1706611690928859464,0,89.0,91.0,88.0,89.0
1706611690959548962,0,89.0,90.0,88.0,89.0
1706611690990932208,0,89.0,90.0,86.0,90.0
1706611691022394950,0,89.0,90.0,86.0,90.0
1706611691053237659,0,89.0,90.0,87.0,90.0
1706611691083282488,0,89.0,90.0,88.0,90.0
1706611691113803540,0,89.0,89.0,89.0,89.0
1706611691146059925,0,89.0,90.0,89.0,88.0
1706611691176333819,0,89.0,91.0,89.0,89.0
1706611691206514897,0,89.0,91.0,88.0,89.0
1706611691239035301,0,90.0,91.0,88.0,89.0
1706611691269424172,0,89.0,91.0,87.0,89.0
1706611691300209926,0,89.0,91.0,87.0,90.0
1706611691330354688,0,90.0,90.0,87.0,90.0
1706611691361341219,0,90.0,89.0,88.0,90.0
1706611691392379469,0,90.0,90.0,88.0,89.0
1706611691422417187,0,89.0,91.0,89.0,89.0
1706611691453830236,0,89.0,91.0,88.0,89.0
1706611691484816514,0,88.0,91.0,88.0,89.0
1706611691515326363,0,88.0,90.0,88.0,89.0
1706611691545825442,0,88.0,90.0,89.0,89.0
1706611691577595616,0,89.0,90.0,89.0,89.0
1706611691610664121,0,89.0,91.0,89.0,90.0
1706611691639100335,0,89.0,91.0,88.0,90.0
1706611691670004102,0,89.0,92.0,88.0,90.0
1706611691701083272,0,89.0,92.0,88.0,90.0
1706611691731685936,0,89.0,92.0,87.0,90.0
1706611691762889784,0,88.0,90.0,87.0,90.0
1706611691793841071,0,88.0,90.0,87.0,90.0
1706611691824768957,0,89.0,90.0,88.0,90.0
1706611691855362084,0,90.0,91.0,89.0,90.0
1706611691886750686,0,89.0,91.0,88.0,89.0
1706611691916080726,0,89.0,91.0,88.0,89.0
1706611691947540062,0,88.0,90.0,87.0,89.0
1706611691979261652,0,89.0,90.0,88.0,90.0
1706611692009769403,0,88.0,91.0,88.0,90.0
1706611692041535985,0,88.0,91.0,88.0,91.0
1706611692071250086,0,88.0,92.0,87.0,90.0
1706611692101537578,0,89.0,91.0,87.0,91.0
1706611692135104084,0,88.0,91.0,88.0,91.0
