%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706612067099277302,0,86.0,96.0,85.0,86.0
1706612067130064092,0,86.0,95.0,84.0,87.0
1706612067162914681,0,87.0,94.0,84.0,85.0
1706612067192815101,0,87.0,94.0,84.0,85.0
1706612067223857462,0,86.0,95.0,84.0,85.0
1706612067255593143,0,86.0,95.0,85.0,85.0
1706612067284829864,0,85.0,95.0,85.0,85.0
1706612067316800904,0,87.0,95.0,85.0,85.0
1706612067347184409,0,87.0,95.0,86.0,85.0
1706612067377583740,0,87.0,95.0,85.0,85.0
1706612067410730051,0,86.0,95.0,85.0,84.0
1706612067440034717,0,86.0,95.0,85.0,85.0
1706612067470416717,0,86.0,95.0,85.0,85.0
1706612067501512790,0,86.0,96.0,85.0,85.0
1706612067532106852,0,87.0,96.0,85.0,85.0
1706612067562961534,0,87.0,95.0,85.0,85.0
1706612067593949673,0,87.0,94.0,85.0,86.0
1706612067624285481,0,87.0,93.0,85.0,86.0
1706612067655717195,0,86.0,94.0,85.0,86.0
1706612067686077158,0,85.0,94.0,84.0,86.0
1706612067717454200,0,86.0,94.0,83.0,85.0
1706612067749111895,0,87.0,93.0,83.0,85.0
1706612067779395966,0,88.0,94.0,84.0,85.0
1706612067809503079,0,88.0,93.0,84.0,84.0
1706612067840389251,0,88.0,94.0,84.0,84.0
1706612067871553693,0,87.0,94.0,85.0,84.0
1706612067901831019,0,87.0,94.0,86.0,85.0
1706612067932810201,0,87.0,94.0,86.0,86.0
1706612067964238108,0,88.0,94.0,85.0,87.0
1706612067995018641,0,88.0,95.0,85.0,86.0
1706612068025894801,0,88.0,95.0,85.0,86.0
1706612068055768759,0,87.0,95.0,86.0,85.0
1706612068087501893,0,88.0,95.0,86.0,85.0
1706612068119178732,0,87.0,94.0,86.0,84.0
1706612068148226055,0,87.0,95.0,85.0,85.0
1706612068180060892,0,87.0,95.0,85.0,85.0
1706612068210763587,0,87.0,94.0,85.0,86.0
1706612068241211453,0,87.0,94.0,85.0,86.0
1706612068272404564,0,88.0,94.0,85.0,87.0
1706612068302900123,0,88.0,95.0,84.0,87.0
1706612068334561830,0,87.0,95.0,84.0,87.0
1706612068365307125,0,86.0,95.0,84.0,87.0
1706612068395275210,0,86.0,95.0,85.0,86.0
1706612068426586677,0,85.0,95.0,85.0,87.0
1706612068456988988,0,86.0,95.0,85.0,86.0
1706612068488592076,0,86.0,94.0,84.0,86.0
1706612068519042793,0,85.0,94.0,83.0,85.0
1706612068550223854,0,84.0,95.0,83.0,85.0
1706612068580282686,0,85.0,96.0,84.0,85.0
1706612068610840132,0,86.0,95.0,85.0,86.0
1706612068642160113,0,87.0,96.0,84.0,86.0
1706612068672598952,0,87.0,96.0,85.0,85.0
1706612068704381801,0,87.0,96.0,85.0,85.0
1706612068733996865,0,86.0,95.0,84.0,85.0
1706612068765082613,0,86.0,94.0,84.0,85.0
1706612068796050126,0,86.0,94.0,84.0,85.0
1706612068826573876,0,86.0,94.0,84.0,85.0
1706612068858132408,0,86.0,95.0,85.0,86.0
1706612068888547177,0,86.0,94.0,85.0,85.0
1706612068919061873,0,86.0,93.0,86.0,85.0
1706612068949951145,0,87.0,93.0,86.0,85.0
1706612068981081416,0,88.0,95.0,85.0,86.0
1706612069012076509,0,88.0,96.0,84.0,86.0
1706612069042680455,0,87.0,96.0,83.0,86.0
1706612069073668424,0,87.0,96.0,84.0,86.0
1706612069104553475,0,88.0,96.0,85.0,85.0
1706612069136581591,0,88.0,95.0,86.0,85.0
1706612069165927836,0,87.0,94.0,86.0,84.0
1706612069197814453,0,86.0,94.0,85.0,85.0
1706612069227325329,0,85.0,94.0,85.0,85.0
1706612069259167411,0,86.0,94.0,84.0,86.0
1706612069289366847,0,85.0,94.0,85.0,86.0
1706612069320154134,0,86.0,94.0,85.0,86.0
1706612069350985535,0,86.0,94.0,84.0,86.0
1706612069382962299,0,86.0,95.0,83.0,86.0
1706612069412879673,0,86.0,94.0,83.0,86.0
1706612069444178615,0,87.0,94.0,84.0,85.0
1706612069475349592,0,87.0,93.0,84.0,86.0
1706612069505036938,0,87.0,94.0,85.0,86.0
1706612069538694308,0,87.0,94.0,85.0,86.0
1706612069567772231,0,86.0,94.0,85.0,86.0
1706612069597803249,0,87.0,94.0,85.0,85.0
1706612069629216329,0,87.0,94.0,84.0,85.0
1706612069659462171,0,88.0,95.0,85.0,84.0
1706612069690642567,0,88.0,95.0,85.0,85.0
1706612069721833954,0,87.0,95.0,86.0,85.0
1706612069752788425,0,87.0,95.0,87.0,86.0
1706612069782744451,0,87.0,94.0,86.0,86.0
1706612069814729024,0,88.0,94.0,86.0,86.0
1706612069845233215,0,87.0,94.0,85.0,86.0
1706612069875735362,0,86.0,95.0,84.0,86.0
1706612069907388386,0,86.0,94.0,84.0,85.0
1706612069936171548,0,87.0,93.0,85.0,85.0
1706612069967314681,0,87.0,93.0,85.0,86.0
1706612070000523494,0,86.0,95.0,85.0,85.0
1706612070029118429,0,86.0,95.0,85.0,86.0
1706612070061267523,0,86.0,95.0,85.0,86.0
1706612070091645972,0,87.0,94.0,84.0,86.0
1706612070122379935,0,86.0,94.0,84.0,86.0
1706612070154220924,0,87.0,94.0,83.0,85.0
1706612070184025995,0,87.0,94.0,84.0,87.0
1706612070214712390,0,88.0,95.0,84.0,86.0
1706612070245804450,0,87.0,95.0,84.0,87.0
1706612070276244011,0,87.0,95.0,84.0,86.0
1706612070308535705,0,87.0,95.0,85.0,86.0
1706612070337918444,0,86.0,94.0,86.0,88.0
1706612070368725817,0,87.0,94.0,86.0,88.0
1706612070399956077,0,87.0,94.0,85.0,88.0
1706612070431297647,0,87.0,95.0,85.0,87.0
1706612070460738886,0,87.0,95.0,84.0,86.0
1706612070491934189,0,86.0,95.0,85.0,86.0
1706612070522630591,0,86.0,95.0,85.0,86.0
1706612070553956191,0,87.0,95.0,86.0,87.0
1706612070585399795,0,87.0,95.0,85.0,87.0
1706612070615556778,0,87.0,94.0,85.0,86.0
1706612070646317989,0,86.0,94.0,84.0,85.0
1706612070676645148,0,85.0,93.0,85.0,85.0
1706612070708264196,0,85.0,93.0,85.0,85.0
1706612070737950440,0,86.0,94.0,85.0,85.0
1706612070768761935,0,86.0,94.0,85.0,85.0
1706612070800324282,0,86.0,94.0,85.0,85.0
1706612070832260864,0,86.0,94.0,85.0,84.0
1706612070861677311,0,86.0,94.0,84.0,85.0
1706612070894045563,0,87.0,94.0,84.0,86.0
1706612070923171463,0,88.0,94.0,84.0,86.0
1706612070953836362,0,87.0,94.0,85.0,86.0
1706612070986423175,0,87.0,94.0,85.0,86.0
1706612071015353313,0,86.0,94.0,85.0,86.0
1706612071046509064,0,86.0,95.0,84.0,86.0
1706612071077441444,0,86.0,95.0,84.0,86.0
1706612071108237537,0,86.0,95.0,85.0,87.0
1706612071140072896,0,86.0,95.0,85.0,87.0
1706612071171233620,0,86.0,95.0,85.0,86.0
1706612071200693029,0,86.0,95.0,84.0,85.0
1706612071232361470,0,86.0,95.0,84.0,86.0
1706612071263791648,0,86.0,94.0,84.0,86.0
1706612071293804665,0,86.0,94.0,85.0,86.0
1706612071324684923,0,86.0,95.0,85.0,86.0
1706612071355961055,0,86.0,96.0,85.0,88.0
1706612071386600196,0,86.0,95.0,85.0,89.0
1706612071417074348,0,85.0,95.0,84.0,88.0
1706612071448462768,0,86.0,94.0,84.0,87.0
1706612071478500341,0,86.0,95.0,84.0,87.0
1706612071509684924,0,87.0,94.0,84.0,87.0
1706612071539747773,0,87.0,94.0,85.0,87.0
1706612071571194548,0,86.0,95.0,85.0,87.0
1706612071602320748,0,86.0,96.0,85.0,86.0
1706612071633193154,0,86.0,95.0,85.0,86.0
1706612071664418016,0,86.0,94.0,84.0,84.0
1706612071694944965,0,86.0,94.0,84.0,85.0
1706612071725665288,0,86.0,95.0,84.0,85.0
1706612071757227010,0,86.0,97.0,84.0,85.0
1706612071788086815,0,86.0,96.0,84.0,84.0
1706612071818129024,0,86.0,96.0,85.0,86.0
1706612071848506652,0,86.0,96.0,85.0,87.0
1706612071880488750,0,87.0,97.0,85.0,86.0
1706612071910226189,0,87.0,97.0,85.0,85.0
1706612071941114085,0,87.0,96.0,85.0,83.0
1706612071971449087,0,86.0,95.0,85.0,85.0
1706612072006222063,0,86.0,94.0,85.0,86.0
1706612072034298151,0,85.0,96.0,84.0,85.0
1706612072064504760,0,86.0,96.0,83.0,85.0
1706612072096085947,0,86.0,98.0,84.0,84.0
1706612072128853502,0,88.0,97.0,84.0,86.0
1706612072157038973,0,87.0,96.0,85.0,86.0
1706612072189417818,0,86.0,94.0,85.0,86.0
1706612072218698198,0,85.0,94.0,86.0,85.0
1706612072249675688,0,85.0,95.0,85.0,84.0
1706612072280715899,0,84.0,97.0,85.0,84.0
1706612072311296030,0,84.0,97.0,86.0,83.0
1706612072342537114,0,83.0,96.0,88.0,83.0
1706612072373013896,0,82.0,95.0,88.0,84.0
1706612072403974060,0,81.0,94.0,87.0,84.0
1706612072434951746,0,81.0,94.0,86.0,83.0
1706612072465851114,0,81.0,94.0,85.0,83.0
1706612072496319707,0,81.0,96.0,85.0,83.0
1706612072526103534,0,82.0,97.0,84.0,84.0
1706612072556713828,0,82.0,97.0,84.0,83.0
1706612072587870936,0,82.0,95.0,84.0,83.0
1706612072618870991,0,82.0,94.0,84.0,84.0
1706612072650234637,0,82.0,94.0,83.0,85.0
1706612072681505950,0,82.0,94.0,84.0,87.0
1706612072713386484,0,82.0,93.0,84.0,87.0
1706612072743532573,0,82.0,94.0,85.0,87.0
1706612072773790076,0,82.0,94.0,84.0,86.0
1706612072805866638,0,83.0,95.0,84.0,86.0
1706612072835258754,0,83.0,95.0,84.0,85.0
1706612072866568777,0,83.0,94.0,85.0,85.0
1706612072897386800,0,83.0,93.0,85.0,85.0
1706612072928005848,0,84.0,92.0,84.0,86.0
1706612072959352737,0,85.0,91.0,85.0,89.0
1706612072989217763,0,86.0,90.0,84.0,91.0
1706612073019982382,0,85.0,91.0,83.0,94.0
1706612073050712836,0,85.0,90.0,83.0,96.0
1706612073082101265,0,85.0,89.0,82.0,96.0
1706612073115713064,0,85.0,88.0,81.0,95.0
1706612073143832562,0,84.0,89.0,79.0,93.0
1706612073174827114,0,84.0,89.0,77.0,92.0
1706612073207466932,0,83.0,89.0,75.0,91.0
1706612073237015520,0,82.0,89.0,72.0,90.0
1706612073267697467,0,82.0,89.0,69.0,90.0
1706612073298232917,0,84.0,87.0,65.0,90.0
1706612073328915781,0,86.0,85.0,64.0,91.0
1706612073359779112,0,88.0,82.0,61.0,91.0
1706612073389943379,0,90.0,80.0,59.0,90.0
1706612073421139116,0,91.0,79.0,56.0,92.0
1706612073452854235,0,94.0,76.0,54.0,96.0
1706612073482279220,0,98.0,73.0,54.0,101.0
1706612073513272062,0,103.0,71.0,54.0,101.0
1706612073544203878,0,108.0,70.0,55.0,100.0
1706612073575118873,0,111.0,71.0,55.0,97.0
1706612073607108572,0,111.0,71.0,55.0,96.0
1706612073635840087,0,112.0,71.0,54.0,94.0
1706612073667322457,0,111.0,70.0,54.0,94.0
1706612073698211737,0,111.0,69.0,54.0,94.0
1706612073728679825,0,109.0,68.0,54.0,95.0
1706612073760848239,0,109.0,67.0,53.0,97.0
1706612073790712181,0,108.0,65.0,53.0,98.0
1706612073822484793,0,106.0,61.0,52.0,97.0
1706612073852323180,0,103.0,57.0,52.0,97.0
