%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706614718871741757,0,52.0,57.0,58.0,50.0
1706614718902990390,0,53.0,58.0,58.0,50.0
1706614718934403104,0,52.0,59.0,57.0,52.0
1706614718966269622,0,52.0,59.0,58.0,54.0
1706614718997226780,0,53.0,59.0,57.0,53.0
1706614719029175146,0,53.0,58.0,57.0,53.0
1706614719059604420,0,53.0,58.0,57.0,51.0
1706614719090660582,0,52.0,57.0,56.0,52.0
1706614719122247097,0,53.0,57.0,56.0,52.0
1706614719153958629,0,53.0,57.0,56.0,52.0
1706614719185726484,0,53.0,58.0,56.0,52.0
1706614719216918002,0,54.0,58.0,56.0,51.0
1706614719247007858,0,54.0,59.0,56.0,51.0
1706614719279208355,0,54.0,59.0,56.0,52.0
1706614719309533152,0,54.0,58.0,56.0,52.0
1706614719341511570,0,53.0,58.0,56.0,51.0
1706614719372683920,0,53.0,57.0,57.0,52.0
1706614719403821606,0,52.0,57.0,57.0,50.0
1706614719434988357,0,53.0,56.0,57.0,51.0
1706614719467825741,0,52.0,57.0,56.0,50.0
1706614719498455302,0,53.0,58.0,56.0,51.0
1706614719527569135,0,53.0,57.0,56.0,50.0
1706614719560794043,0,53.0,57.0,57.0,50.0
1706614719591432777,0,52.0,57.0,58.0,50.0
1706614719620940358,0,52.0,58.0,59.0,50.0
1706614719653444712,0,53.0,58.0,58.0,51.0
1706614719684072127,0,53.0,58.0,58.0,51.0
1706614719715673588,0,52.0,57.0,57.0,51.0
1706614719746587081,0,52.0,57.0,58.0,52.0
1706614719778014823,0,53.0,59.0,58.0,52.0
1706614719809896751,0,53.0,60.0,58.0,52.0
1706614719840935264,0,52.0,60.0,58.0,51.0
1706614719871900677,0,51.0,58.0,58.0,51.0
1706614719902659320,0,51.0,57.0,57.0,52.0
1706614719937283093,0,52.0,57.0,58.0,51.0
1706614719965532540,0,52.0,57.0,57.0,51.0
1706614719996329385,0,53.0,58.0,58.0,51.0
1706614720028688711,0,54.0,58.0,57.0,52.0
1706614720058939205,0,53.0,58.0,58.0,52.0
1706614720089718700,0,52.0,58.0,58.0,51.0
1706614720122225516,0,52.0,58.0,58.0,50.0
1706614720154652894,0,53.0,58.0,59.0,49.0
1706614720183653095,0,54.0,58.0,58.0,49.0
1706614720215472403,0,53.0,58.0,59.0,50.0
1706614720246320369,0,52.0,58.0,59.0,51.0
1706614720277216160,0,51.0,59.0,58.0,52.0
1706614720309172471,0,51.0,59.0,59.0,51.0
1706614720342897641,0,51.0,59.0,58.0,52.0
1706614720370579721,0,52.0,58.0,58.0,52.0
1706614720401863573,0,52.0,58.0,57.0,52.0
1706614720433153134,0,51.0,57.0,57.0,52.0
1706614720464607484,0,52.0,57.0,58.0,51.0
1706614720495877070,0,53.0,56.0,57.0,51.0
1706614720527088323,0,53.0,57.0,58.0,50.0
