%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706609519793208443,0,88.0,94.0,85.0,89.0
1706609519823446815,0,88.0,95.0,85.0,89.0
1706609519855147265,0,87.0,96.0,87.0,89.0
1706609519885611979,0,87.0,96.0,86.0,88.0
1706609519916891511,0,87.0,95.0,86.0,88.0
1706609519947548592,0,87.0,94.0,85.0,88.0
1706609519978264017,0,88.0,93.0,86.0,89.0
1706609520008599859,0,88.0,94.0,87.0,88.0
1706609520039780911,0,88.0,93.0,86.0,88.0
1706609520071192116,0,88.0,95.0,86.0,87.0
1706609520101702518,0,88.0,96.0,85.0,87.0
1706609520132833440,0,89.0,94.0,86.0,88.0
1706609520163681404,0,88.0,94.0,86.0,88.0
1706609520193501942,0,88.0,93.0,86.0,88.0
1706609520224810001,0,87.0,93.0,86.0,88.0
1706609520255801813,0,87.0,93.0,86.0,88.0
1706609520288148759,0,87.0,93.0,86.0,88.0
1706609520317535072,0,88.0,94.0,86.0,88.0
1706609520348935294,0,89.0,93.0,87.0,87.0
1706609520381064910,0,88.0,94.0,86.0,87.0
1706609520410539123,0,88.0,94.0,86.0,86.0
1706609520440258291,0,88.0,96.0,86.0,88.0
1706609520472581690,0,87.0,95.0,86.0,88.0
1706609520503088515,0,87.0,95.0,86.0,88.0
1706609520533992116,0,87.0,94.0,86.0,86.0
1706609520564339591,0,88.0,93.0,85.0,86.0
1706609520595406387,0,89.0,93.0,85.0,85.0
1706609520626261392,0,89.0,93.0,86.0,86.0
1706609520657558555,0,90.0,93.0,86.0,87.0
1706609520687389117,0,89.0,93.0,85.0,88.0
1706609520718690103,0,88.0,92.0,85.0,88.0
1706609520750017456,0,88.0,93.0,85.0,88.0
1706609520781355796,0,87.0,94.0,86.0,89.0
1706609520811192145,0,88.0,94.0,86.0,88.0
1706609520841418112,0,89.0,95.0,86.0,88.0
1706609520872344563,0,88.0,95.0,86.0,87.0
1706609520903927456,0,88.0,95.0,86.0,87.0
1706609520934610545,0,87.0,94.0,86.0,88.0
1706609520964773760,0,88.0,93.0,85.0,89.0
1706609520995857895,0,88.0,94.0,86.0,90.0
1706609521026982570,0,88.0,94.0,86.0,89.0
1706609521058051483,0,89.0,94.0,86.0,89.0
1706609521088608774,0,89.0,94.0,87.0,88.0
1706609521119687351,0,90.0,94.0,86.0,87.0
1706609521150537562,0,89.0,94.0,85.0,88.0
1706609521182077259,0,88.0,94.0,85.0,87.0
1706609521213766511,0,88.0,93.0,85.0,87.0
1706609521243505104,0,88.0,93.0,86.0,86.0
1706609521274481270,0,88.0,94.0,85.0,87.0
1706609521305217546,0,87.0,95.0,86.0,88.0
1706609521335976540,0,87.0,95.0,86.0,88.0
1706609521366303857,0,86.0,95.0,87.0,88.0
1706609521397570355,0,87.0,94.0,87.0,88.0
1706609521428630749,0,87.0,93.0,87.0,87.0
1706609521459462723,0,88.0,93.0,86.0,86.0
1706609521490667213,0,87.0,94.0,85.0,86.0
1706609521520618424,0,88.0,94.0,85.0,86.0
1706609521551672326,0,88.0,93.0,86.0,87.0
1706609521582242788,0,87.0,94.0,87.0,87.0
1706609521613477463,0,87.0,94.0,86.0,88.0
1706609521643749362,0,87.0,94.0,87.0,88.0
1706609521674990776,0,88.0,94.0,86.0,89.0
1706609521705214896,0,88.0,94.0,87.0,88.0
1706609521737291882,0,89.0,94.0,87.0,87.0
1706609521767726914,0,89.0,94.0,87.0,87.0
1706609521798770580,0,89.0,94.0,87.0,87.0
1706609521828751526,0,88.0,94.0,86.0,86.0
1706609521859122219,0,88.0,94.0,85.0,86.0
1706609521891085544,0,87.0,94.0,85.0,87.0
1706609521924977237,0,87.0,93.0,85.0,88.0
1706609521952883747,0,88.0,93.0,85.0,88.0
1706609521984698112,0,89.0,95.0,85.0,88.0
1706609522014640186,0,90.0,95.0,85.0,88.0
1706609522045505105,0,89.0,94.0,85.0,87.0
1706609522076598055,0,88.0,93.0,86.0,87.0
1706609522106604334,0,88.0,93.0,85.0,86.0
1706609522137906810,0,88.0,93.0,85.0,87.0
1706609522167921158,0,89.0,93.0,85.0,86.0
1706609522198714068,0,89.0,93.0,86.0,87.0
1706609522230972555,0,89.0,93.0,86.0,87.0
1706609522261197526,0,88.0,94.0,86.0,88.0
1706609522292053290,0,88.0,94.0,87.0,87.0
1706609522322840544,0,88.0,95.0,87.0,89.0
1706609522353705595,0,88.0,95.0,87.0,88.0
1706609522385290151,0,87.0,95.0,86.0,89.0
1706609522415378977,0,87.0,96.0,86.0,88.0
1706609522446985576,0,87.0,95.0,85.0,89.0
1706609522478486106,0,87.0,95.0,86.0,88.0
1706609522507714938,0,88.0,94.0,86.0,88.0
1706609522537977610,0,88.0,94.0,86.0,88.0
1706609522569742175,0,88.0,94.0,86.0,88.0
1706609522600683758,0,88.0,94.0,86.0,88.0
1706609522631889076,0,87.0,94.0,86.0,89.0
1706609522663681997,0,87.0,94.0,86.0,89.0
1706609522693520056,0,87.0,95.0,86.0,88.0
1706609522723093522,0,87.0,95.0,87.0,87.0
1706609522753862355,0,87.0,95.0,86.0,87.0
1706609522785024172,0,88.0,94.0,86.0,87.0
1706609522815870775,0,89.0,93.0,86.0,89.0
1706609522847685710,0,88.0,94.0,86.0,88.0
1706609522879653496,0,87.0,95.0,86.0,88.0
1706609522909930391,0,88.0,95.0,85.0,86.0
1706609522940233461,0,89.0,93.0,85.0,87.0
1706609522971011867,0,89.0,94.0,85.0,87.0
1706609523000973883,0,88.0,94.0,85.0,88.0
1706609523031906892,0,87.0,95.0,85.0,88.0
1706609523064552731,0,88.0,94.0,84.0,88.0
1706609523094684756,0,87.0,94.0,84.0,89.0
1706609523125590957,0,87.0,94.0,85.0,88.0
1706609523156836383,0,86.0,95.0,86.0,88.0
1706609523185990800,0,87.0,94.0,86.0,87.0
1706609523218318473,0,87.0,94.0,86.0,87.0
1706609523248714080,0,88.0,94.0,86.0,87.0
1706609523279693902,0,88.0,94.0,86.0,87.0
1706609523310358864,0,88.0,93.0,87.0,87.0
1706609523340446681,0,88.0,94.0,87.0,88.0
1706609523372171612,0,88.0,93.0,86.0,87.0
1706609523401816200,0,88.0,94.0,86.0,87.0
1706609523434161042,0,88.0,94.0,85.0,86.0
1706609523463974254,0,88.0,94.0,86.0,87.0
1706609523495811564,0,89.0,94.0,86.0,87.0
1706609523526870139,0,89.0,95.0,86.0,88.0
1706609523557476606,0,89.0,96.0,86.0,88.0
1706609523588002602,0,88.0,95.0,86.0,88.0
1706609523618737838,0,88.0,94.0,86.0,88.0
1706609523649996165,0,87.0,94.0,85.0,87.0
