%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706615549169570037,0,48.0,61.0,58.0,46.0
1706615549200601921,0,47.0,61.0,60.0,45.0
1706615549231118565,0,47.0,60.0,60.0,45.0
1706615549263455040,0,47.0,60.0,59.0,45.0
1706615549294457257,0,47.0,60.0,59.0,46.0
1706615549325055457,0,48.0,61.0,59.0,46.0
1706615549355613147,0,47.0,61.0,61.0,46.0
1706615549386869645,0,46.0,62.0,61.0,45.0
1706615549418883760,0,46.0,61.0,61.0,44.0
1706615549448319443,0,46.0,62.0,60.0,44.0
1706615549480435326,0,47.0,61.0,60.0,43.0
1706615549510609290,0,48.0,63.0,59.0,44.0
1706615549541570891,0,48.0,62.0,60.0,45.0
1706615549573175122,0,48.0,62.0,60.0,45.0
1706615549602532954,0,46.0,62.0,60.0,45.0
1706615549633895562,0,47.0,61.0,61.0,45.0
1706615549665634408,0,47.0,61.0,61.0,46.0
1706615549695672954,0,49.0,60.0,61.0,46.0
1706615549726639858,0,47.0,61.0,61.0,46.0
1706615549758305973,0,46.0,62.0,61.0,45.0
1706615549789378521,0,44.0,61.0,60.0,45.0
1706615549819623238,0,45.0,61.0,59.0,44.0
1706615549850327756,0,46.0,60.0,59.0,44.0
1706615549881458211,0,47.0,60.0,60.0,44.0
1706615549912600563,0,46.0,59.0,61.0,44.0
1706615549944398483,0,46.0,59.0,61.0,45.0
1706615549974310588,0,45.0,60.0,61.0,46.0
1706615550006790137,0,46.0,62.0,61.0,46.0
1706615550036794183,0,47.0,61.0,61.0,45.0
1706615550067854436,0,48.0,61.0,61.0,45.0
1706615550098333798,0,47.0,61.0,61.0,45.0
1706615550129578491,0,47.0,62.0,60.0,45.0
1706615550160868508,0,46.0,62.0,61.0,45.0
1706615550190790669,0,47.0,62.0,60.0,45.0
1706615550222061108,0,47.0,60.0,60.0,47.0
1706615550253366802,0,47.0,60.0,60.0,48.0
1706615550283288978,0,46.0,59.0,60.0,48.0
1706615550314978505,0,47.0,60.0,60.0,46.0
1706615550346184947,0,46.0,60.0,61.0,45.0
1706615550377034389,0,47.0,60.0,61.0,44.0
1706615550408098884,0,46.0,60.0,61.0,44.0
1706615550438636173,0,47.0,61.0,59.0,43.0
1706615550469724470,0,48.0,61.0,58.0,42.0
1706615550501045775,0,48.0,62.0,58.0,44.0
1706615550531734318,0,47.0,61.0,60.0,43.0
1706615550563252888,0,47.0,61.0,62.0,44.0
1706615550593402916,0,47.0,60.0,62.0,44.0
1706615550625384338,0,47.0,60.0,62.0,45.0
1706615550655374897,0,47.0,60.0,60.0,46.0
1706615550689206864,0,46.0,60.0,60.0,45.0
1706615550717403322,0,46.0,61.0,60.0,45.0
1706615550747570814,0,46.0,62.0,59.0,45.0
1706615550778874802,0,47.0,62.0,59.0,46.0
1706615550809527278,0,47.0,62.0,59.0,45.0
1706615550841744241,0,46.0,61.0,60.0,44.0
1706615550871303094,0,45.0,60.0,60.0,45.0
1706615550902390326,0,45.0,60.0,60.0,46.0
1706615550934203751,0,44.0,60.0,61.0,46.0
1706615550965465496,0,45.0,60.0,62.0,45.0
1706615550995916530,0,46.0,60.0,61.0,44.0
1706615551028564409,0,47.0,61.0,61.0,45.0
1706615551058461381,0,47.0,61.0,61.0,44.0
1706615551088863452,0,47.0,60.0,61.0,45.0
1706615551119584954,0,47.0,60.0,61.0,44.0
1706615551150314855,0,46.0,60.0,62.0,45.0
1706615551181155519,0,47.0,60.0,61.0,45.0
1706615551212578543,0,47.0,60.0,62.0,46.0
1706615551243207925,0,47.0,60.0,61.0,45.0
1706615551274264389,0,47.0,59.0,62.0,45.0
