%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1705447347968621917,0,82.0,90.0,85.0,86.0
1705447348000898361,0,81.0,89.0,84.0,86.0
1705447348030574337,0,81.0,90.0,84.0,85.0
1705447348069008620,0,81.0,90.0,83.0,85.0
1705447348094663158,0,82.0,91.0,85.0,85.0
1705447348132412597,0,82.0,92.0,85.0,86.0
1705447348158115232,0,83.0,92.0,85.0,86.0
1705447348189302223,0,82.0,92.0,85.0,86.0
1705447348219395527,0,82.0,90.0,85.0,86.0
1705447348250023237,0,82.0,90.0,85.0,86.0
1705447348283681998,0,82.0,89.0,84.0,86.0
1705447348316458276,0,83.0,89.0,85.0,85.0
1705447348343727439,0,83.0,89.0,86.0,86.0
1705447348375013187,0,82.0,90.0,87.0,86.0
1705447348406483775,0,82.0,91.0,87.0,87.0
1705447348438332546,0,82.0,92.0,86.0,87.0
1705447348469405385,0,82.0,91.0,86.0,89.0
1705447348500490951,0,82.0,91.0,85.0,88.0
1705447348532698486,0,82.0,90.0,85.0,87.0
1705447348563670416,0,81.0,90.0,85.0,86.0
1705447348593421312,0,82.0,90.0,85.0,86.0
1705447348625736460,0,83.0,90.0,85.0,85.0
1705447348657004221,0,83.0,91.0,85.0,84.0
1705447348687541347,0,83.0,91.0,85.0,85.0
1705447348719725525,0,81.0,92.0,85.0,86.0
1705447348753103710,0,81.0,90.0,85.0,86.0
1705447348781564118,0,82.0,90.0,85.0,86.0
1705447348814550468,0,83.0,90.0,85.0,86.0
1705447348843825605,0,83.0,91.0,84.0,86.0
1705447348875574733,0,82.0,91.0,84.0,86.0
1705447348907259129,0,82.0,92.0,84.0,85.0
1705447348939642682,0,83.0,92.0,85.0,86.0
1705447348969912598,0,83.0,92.0,86.0,86.0
1705447349000786233,0,83.0,92.0,86.0,85.0
1705447349032963349,0,83.0,91.0,85.0,84.0
1705447349063974508,0,83.0,91.0,84.0,86.0
1705447349095803971,0,83.0,91.0,84.0,85.0
1705447349125856116,0,83.0,90.0,84.0,86.0
1705447349157810829,0,83.0,91.0,84.0,85.0
1705447349189233403,0,82.0,91.0,85.0,85.0
1705447349220032455,0,82.0,92.0,85.0,84.0
1705447349251967172,0,82.0,91.0,85.0,85.0
1705447349282789052,0,83.0,90.0,85.0,85.0
1705447349314411381,0,83.0,90.0,85.0,84.0
1705447349345363961,0,84.0,90.0,86.0,84.0
1705447349378259723,0,84.0,92.0,87.0,86.0
1705447349409690366,0,83.0,92.0,86.0,86.0
1705447349439651123,0,81.0,92.0,85.0,86.0
1705447349471243236,0,81.0,92.0,85.0,85.0
1705447349502686675,0,81.0,91.0,85.0,85.0
1705447349535135571,0,82.0,91.0,85.0,84.0
1705447349565878727,0,83.0,90.0,85.0,85.0
1705447349597052614,0,83.0,90.0,85.0,85.0
1705447349626997993,0,84.0,89.0,86.0,85.0
1705447349657955609,0,82.0,89.0,85.0,84.0
1705447349689570223,0,83.0,90.0,85.0,85.0
