%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706612741411599767,0,87.0,92.0,85.0,87.0
1706612741442216319,0,86.0,92.0,85.0,86.0
1706612741473370483,0,86.0,91.0,84.0,87.0
1706612741504204494,0,87.0,90.0,85.0,87.0
1706612741535661969,0,87.0,89.0,84.0,86.0
1706612741566691071,0,86.0,91.0,85.0,86.0
1706612741597543356,0,86.0,92.0,85.0,87.0
1706612741629119408,0,86.0,93.0,85.0,86.0
1706612741660109831,0,87.0,92.0,86.0,86.0
1706612741689405805,0,86.0,91.0,86.0,85.0
1706612741720710425,0,86.0,90.0,86.0,86.0
1706612741752183143,0,86.0,91.0,86.0,87.0
1706612741783079542,0,87.0,90.0,85.0,88.0
1706612741814334323,0,87.0,90.0,85.0,88.0
1706612741844677560,0,87.0,90.0,85.0,86.0
1706612741875523813,0,86.0,90.0,85.0,86.0
1706612741905655180,0,86.0,91.0,84.0,87.0
1706612741936742760,0,86.0,91.0,83.0,87.0
1706612741968003067,0,86.0,92.0,83.0,87.0
1706612742001420122,0,87.0,92.0,83.0,88.0
1706612742030052960,0,87.0,92.0,84.0,88.0
1706612742060699887,0,86.0,90.0,84.0,87.0
1706612742091656736,0,86.0,90.0,85.0,84.0
1706612742122866878,0,86.0,91.0,85.0,84.0
1706612742154136488,0,86.0,92.0,85.0,84.0
1706612742184170476,0,86.0,91.0,84.0,85.0
1706612742215669835,0,86.0,92.0,85.0,85.0
1706612742246317728,0,86.0,91.0,85.0,87.0
1706612742277825564,0,85.0,92.0,86.0,88.0
1706612742308275387,0,86.0,91.0,85.0,88.0
1706612742338508103,0,86.0,92.0,86.0,87.0
1706612742369912627,0,86.0,91.0,86.0,87.0
1706612742400511227,0,86.0,92.0,87.0,87.0
1706612742432088464,0,86.0,92.0,86.0,87.0
1706612742462600733,0,87.0,92.0,86.0,87.0
1706612742492152655,0,87.0,91.0,86.0,86.0
1706612742523039221,0,87.0,91.0,86.0,87.0
1706612742555291486,0,88.0,91.0,86.0,86.0
1706612742587438700,0,87.0,91.0,86.0,86.0
1706612742617003440,0,87.0,90.0,85.0,85.0
1706612742647756350,0,86.0,90.0,85.0,87.0
1706612742677774215,0,86.0,90.0,85.0,87.0
1706612742708422997,0,86.0,91.0,85.0,87.0
1706612742739974030,0,87.0,91.0,85.0,86.0
1706612742772106748,0,86.0,91.0,85.0,87.0
1706612742800624483,0,86.0,90.0,86.0,86.0
1706612742831897902,0,86.0,90.0,86.0,86.0
1706612742862803965,0,87.0,90.0,85.0,85.0
