%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1700178295622002018,0,34.0,35.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178295646090409,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178295674231795,0,34.0,33.0,34.0,37.0,1.0,1.0,1.0,2.0
1700178295699507267,0,35.0,34.0,34.0,32.0,1.0,1.0,1.0,2.0
1700178295724240664,0,36.0,33.0,34.0,34.0,1.0,1.0,1.0,2.0
1700178295749143579,0,39.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178295773754231,0,34.0,33.0,33.0,32.0,1.0,1.0,1.0,2.0
1700178295802032182,0,34.0,34.0,33.0,38.0,1.0,1.0,1.0,2.0
1700178295827277783,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178295851095851,0,36.0,34.0,36.0,34.0,1.0,1.0,1.0,2.0
1700178295876255409,0,39.0,33.0,34.0,32.0,1.0,1.0,1.0,2.0
1700178295900493969,0,34.0,33.0,39.0,33.0,1.0,1.0,1.0,2.0
1700178295929486117,0,34.0,33.0,34.0,34.0,1.0,1.0,1.0,2.0
1700178295957624894,0,33.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178295978593922,0,38.0,33.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296005948070,0,39.0,35.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296028385581,0,38.0,33.0,34.0,38.0,1.0,1.0,1.0,2.0
1700178296056330199,0,33.0,39.0,34.0,34.0,1.0,1.0,1.0,2.0
1700178296081029577,0,33.0,33.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296106424922,0,33.0,34.0,39.0,33.0,1.0,1.0,1.0,2.0
1700178296130464976,0,34.0,33.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296155172475,0,34.0,34.0,34.0,38.0,1.0,1.0,1.0,2.0
1700178296184479068,0,34.0,33.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296209584156,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296237051800,0,33.0,33.0,34.0,36.0,1.0,1.0,1.0,2.0
1700178296257195533,0,33.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296282917439,0,34.0,35.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296311455780,0,34.0,33.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296335928074,0,33.0,36.0,34.0,32.0,1.0,1.0,1.0,2.0
1700178296360897234,0,34.0,34.0,33.0,37.0,1.0,1.0,1.0,2.0
1700178296385192564,0,33.0,32.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296410228844,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296437936375,0,34.0,33.0,35.0,32.0,1.0,1.0,1.0,2.0
1700178296463707380,0,35.0,33.0,34.0,32.0,1.0,1.0,1.0,2.0
1700178296490535154,0,34.0,32.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296512793403,0,35.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296540110591,0,39.0,33.0,36.0,32.0,1.0,1.0,1.0,2.0
1700178296566136225,0,39.0,34.0,34.0,34.0,1.0,1.0,1.0,2.0
1700178296590485837,0,34.0,33.0,37.0,33.0,1.0,1.0,1.0,2.0
1700178296615232956,0,34.0,33.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296646483338,0,34.0,34.0,33.0,33.0,1.0,1.0,1.0,2.0
1700178296668307655,0,38.0,34.0,33.0,33.0,1.0,1.0,1.0,2.0
1700178296693061909,0,39.0,33.0,34.0,32.0,1.0,1.0,1.0,2.0
1700178296724900981,0,38.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700178296742500212,0,34.0,34.0,35.0,32.0,1.0,1.0,1.0,2.0
1700178296767570294,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296795774386,0,34.0,34.0,40.0,37.0,1.0,1.0,1.0,2.0
1700178296820325506,0,33.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296845812503,0,33.0,33.0,34.0,32.0,1.0,1.0,1.0,2.0
1700178296870492103,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
1700178296897752709,0,33.0,34.0,33.0,32.0,1.0,1.0,1.0,2.0
1700178296919657529,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
