%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706615730390404406,0,51.0,61.0,53.0,40.0
1706615730421787487,0,51.0,61.0,54.0,40.0
1706615730452926760,0,51.0,61.0,55.0,39.0
1706615730484445448,0,51.0,60.0,56.0,41.0
1706615730514716470,0,51.0,60.0,55.0,39.0
1706615730546734538,0,51.0,60.0,55.0,41.0
1706615730576380745,0,51.0,59.0,54.0,41.0
1706615730606056645,0,52.0,59.0,54.0,42.0
1706615730637266827,0,52.0,58.0,54.0,43.0
1706615730668878220,0,52.0,59.0,53.0,41.0
1706615730699241541,0,51.0,59.0,54.0,41.0
1706615730729874453,0,51.0,60.0,54.0,40.0
1706615730762086817,0,51.0,60.0,54.0,41.0
1706615730791829038,0,51.0,59.0,54.0,42.0
1706615730822977513,0,51.0,60.0,54.0,41.0
1706615730855550006,0,51.0,60.0,55.0,42.0
1706615730883861090,0,51.0,61.0,55.0,40.0
1706615730914977050,0,52.0,61.0,53.0,41.0
1706615730948101205,0,52.0,59.0,52.0,41.0
1706615730976575796,0,52.0,60.0,52.0,40.0
1706615731008784824,0,51.0,59.0,53.0,40.0
1706615731038078655,0,51.0,59.0,54.0,40.0
1706615731069284288,0,51.0,60.0,54.0,40.0
1706615731099608512,0,51.0,60.0,54.0,40.0
1706615731130074987,0,51.0,61.0,54.0,41.0
1706615731160765031,0,51.0,60.0,53.0,40.0
1706615731192268231,0,50.0,61.0,53.0,41.0
1706615731223394075,0,50.0,61.0,53.0,40.0
1706615731254731325,0,50.0,61.0,55.0,41.0
1706615731284807159,0,50.0,61.0,55.0,40.0
1706615731315675286,0,51.0,60.0,54.0,39.0
1706615731346655570,0,52.0,59.0,53.0,41.0
1706615731376812461,0,52.0,59.0,53.0,41.0
1706615731407545971,0,51.0,60.0,54.0,42.0
1706615731438245559,0,51.0,61.0,55.0,40.0
1706615731469720016,0,50.0,60.0,54.0,39.0
1706615731500595036,0,51.0,60.0,55.0,41.0
1706615731531472291,0,51.0,61.0,55.0,41.0
1706615731564931988,0,51.0,61.0,54.0,42.0
1706615731592524761,0,52.0,61.0,54.0,41.0
1706615731623141263,0,52.0,60.0,53.0,40.0
1706615731654185499,0,53.0,60.0,55.0,41.0
1706615731684747985,0,53.0,61.0,56.0,42.0
1706615731715843611,0,52.0,61.0,56.0,42.0
1706615731746312270,0,51.0,61.0,55.0,40.0
1706615731778299703,0,51.0,62.0,55.0,40.0
1706615731807958903,0,51.0,62.0,55.0,40.0
1706615731839201605,0,51.0,62.0,55.0,41.0
1706615731870072591,0,52.0,62.0,54.0,41.0
1706615731899803098,0,52.0,61.0,54.0,41.0
1706615731931705470,0,53.0,61.0,54.0,40.0
1706615731962631693,0,52.0,62.0,54.0,41.0
1706615731995968905,0,52.0,63.0,55.0,41.0
1706615732024929076,0,51.0,63.0,56.0,42.0
1706615732054483270,0,51.0,61.0,56.0,41.0
1706615732085715921,0,52.0,61.0,56.0,40.0
1706615732116844804,0,52.0,60.0,54.0,41.0
1706615732147583701,0,51.0,62.0,54.0,40.0
1706615732179079603,0,51.0,62.0,54.0,40.0
1706615732208194967,0,52.0,63.0,55.0,40.0
1706615732240220148,0,52.0,61.0,55.0,42.0
1706615732271217273,0,52.0,61.0,55.0,40.0
1706615732300104873,0,52.0,60.0,56.0,40.0
1706615732332088241,0,51.0,61.0,55.0,39.0
1706615732362671673,0,51.0,61.0,55.0,41.0
1706615732398724263,0,51.0,60.0,54.0,40.0
1706615732425029330,0,50.0,61.0,55.0,40.0
1706615732456144586,0,51.0,59.0,55.0,39.0
1706615732486678526,0,51.0,61.0,56.0,40.0
1706615732517849643,0,52.0,60.0,56.0,40.0
1706615732547897049,0,52.0,61.0,56.0,41.0
1706615732579216711,0,52.0,61.0,55.0,40.0
1706615732609125518,0,51.0,61.0,54.0,41.0
1706615732638997992,0,51.0,61.0,55.0,41.0
1706615732670223611,0,51.0,61.0,55.0,42.0
1706615732701052293,0,52.0,62.0,56.0,41.0
1706615732732653790,0,52.0,64.0,57.0,39.0
