%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706611836929134063,0,82.0,86.0,79.0,77.0
1706611836959844666,0,82.0,85.0,79.0,77.0
1706611836990724616,0,83.0,85.0,79.0,77.0
1706611837021522074,0,83.0,85.0,79.0,78.0
1706611837054712253,0,82.0,85.0,80.0,78.0
1706611837083257097,0,83.0,85.0,80.0,78.0
1706611837113066995,0,83.0,85.0,80.0,78.0
1706611837144081067,0,84.0,85.0,80.0,79.0
1706611837174747465,0,84.0,85.0,81.0,79.0
1706611837205668020,0,84.0,85.0,80.0,80.0
1706611837236588240,0,84.0,85.0,79.0,78.0
1706611837267845024,0,83.0,85.0,79.0,78.0
1706611837298327481,0,82.0,86.0,80.0,77.0
1706611837329585743,0,82.0,85.0,80.0,77.0
1706611837362175626,0,83.0,85.0,79.0,77.0
1706611837390896042,0,84.0,85.0,79.0,76.0
1706611837422206168,0,84.0,86.0,80.0,77.0
1706611837453579182,0,84.0,87.0,80.0,77.0
1706611837483360765,0,83.0,86.0,81.0,78.0
1706611837515934428,0,83.0,86.0,80.0,77.0
1706611837544443067,0,83.0,85.0,79.0,77.0
1706611837575723653,0,82.0,85.0,79.0,75.0
1706611837606898231,0,82.0,84.0,79.0,75.0
1706611837637758414,0,83.0,85.0,79.0,76.0
1706611837669227271,0,83.0,87.0,80.0,78.0
1706611837699369948,0,83.0,87.0,80.0,78.0
1706611837729686017,0,82.0,86.0,81.0,78.0
1706611837759879960,0,83.0,86.0,81.0,78.0
1706611837791287394,0,82.0,86.0,81.0,78.0
1706611837822453039,0,82.0,86.0,81.0,78.0
1706611837858192107,0,82.0,85.0,81.0,78.0
1706611837884231149,0,83.0,86.0,80.0,77.0
1706611837914088981,0,82.0,87.0,80.0,77.0
1706611837945884618,0,82.0,87.0,79.0,78.0
1706611837976944927,0,81.0,86.0,79.0,78.0
1706611838007686459,0,81.0,87.0,79.0,78.0
1706611838038778958,0,82.0,86.0,79.0,77.0
1706611838069050842,0,82.0,86.0,79.0,78.0
1706611838099471799,0,82.0,85.0,79.0,78.0
1706611838130490894,0,82.0,85.0,79.0,78.0
1706611838159703519,0,82.0,86.0,80.0,78.0
1706611838191689272,0,83.0,85.0,81.0,79.0
1706611838222918385,0,83.0,86.0,80.0,79.0
1706611838253913309,0,83.0,86.0,79.0,79.0
1706611838285149130,0,83.0,87.0,79.0,79.0
