%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1700178383305988439,0,34.0,34.0,34.0,36.0,1.0,2.0,2.0,1.0
1700178383326823734,0,34.0,34.0,40.0,33.0,1.0,2.0,2.0,1.0
1700178383351172215,0,40.0,33.0,35.0,38.0,1.0,2.0,2.0,1.0
1700178383382684137,0,34.0,33.0,34.0,33.0,1.0,2.0,2.0,1.0
1700178383403694924,0,34.0,35.0,35.0,34.0,1.0,2.0,2.0,1.0
1700178383428160802,0,35.0,35.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178383461423584,0,40.0,33.0,36.0,34.0,1.0,2.0,2.0,1.0
1700178383477230745,0,34.0,33.0,36.0,33.0,1.0,2.0,2.0,1.0
1700178383506113279,0,35.0,39.0,40.0,34.0,1.0,2.0,2.0,1.0
1700178383531232803,0,33.0,39.0,40.0,38.0,1.0,2.0,2.0,1.0
1700178383555328359,0,39.0,35.0,35.0,34.0,1.0,2.0,2.0,1.0
1700178383580698885,0,35.0,34.0,35.0,39.0,1.0,2.0,2.0,1.0
1700178383604362186,0,35.0,34.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178383632384308,0,39.0,35.0,35.0,34.0,1.0,2.0,2.0,1.0
1700178383657735600,0,39.0,35.0,36.0,32.0,1.0,2.0,2.0,1.0
1700178383681725074,0,34.0,35.0,36.0,34.0,1.0,2.0,2.0,1.0
1700178383705808214,0,35.0,34.0,40.0,34.0,1.0,2.0,2.0,1.0
1700178383736937909,0,38.0,34.0,34.0,33.0,1.0,2.0,2.0,1.0
1700178383758751984,0,38.0,34.0,34.0,39.0,1.0,2.0,2.0,1.0
1700178383782384673,0,34.0,39.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178383806606400,0,34.0,34.0,35.0,39.0,1.0,2.0,2.0,1.0
1700178383831076918,0,39.0,35.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178383860955191,0,40.0,40.0,36.0,39.0,1.0,2.0,2.0,1.0
1700178383880083856,0,34.0,35.0,40.0,33.0,1.0,2.0,2.0,1.0
1700178383908346559,0,34.0,35.0,40.0,33.0,1.0,2.0,2.0,1.0
1700178383932969851,0,36.0,34.0,34.0,33.0,1.0,2.0,2.0,1.0
1700178383957525316,0,39.0,34.0,35.0,34.0,1.0,2.0,2.0,1.0
1700178383982368315,0,35.0,34.0,35.0,39.0,1.0,2.0,2.0,1.0
1700178384007305326,0,34.0,34.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384035855055,0,33.0,34.0,34.0,38.0,1.0,2.0,2.0,1.0
1700178384060827822,0,40.0,32.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384084801912,0,34.0,33.0,39.0,39.0,1.0,2.0,2.0,1.0
1700178384109581500,0,34.0,38.0,38.0,36.0,1.0,2.0,2.0,1.0
1700178384134395257,0,32.0,38.0,34.0,33.0,1.0,2.0,2.0,1.0
1700178384161833524,0,39.0,32.0,33.0,32.0,1.0,2.0,2.0,1.0
1700178384186312048,0,36.0,34.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384211159956,0,35.0,36.0,35.0,34.0,1.0,2.0,2.0,1.0
1700178384235392694,0,35.0,33.0,36.0,32.0,1.0,2.0,2.0,1.0
1700178384260321086,0,39.0,35.0,38.0,39.0,1.0,2.0,2.0,1.0
1700178384294941727,0,34.0,34.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384313145506,0,34.0,35.0,38.0,38.0,1.0,2.0,2.0,1.0
1700178384337915398,0,34.0,35.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384361160420,0,37.0,38.0,34.0,34.0,1.0,2.0,2.0,1.0
1700178384387050047,0,40.0,39.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384414441252,0,35.0,37.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384439241078,0,34.0,34.0,40.0,33.0,1.0,2.0,2.0,1.0
1700178384464121197,0,35.0,34.0,40.0,33.0,1.0,2.0,2.0,1.0
1700178384488098968,0,40.0,34.0,35.0,38.0,1.0,2.0,2.0,1.0
1700178384515614086,0,34.0,35.0,35.0,33.0,1.0,2.0,2.0,1.0
1700178384541302828,0,34.0,35.0,35.0,38.0,1.0,2.0,2.0,1.0
1700178384564692401,0,33.0,35.0,38.0,33.0,1.0,2.0,2.0,1.0
1700178384589090774,0,38.0,35.0,36.0,37.0,1.0,2.0,2.0,1.0
1700178384617318475,0,40.0,39.0,35.0,34.0,1.0,2.0,2.0,1.0
1700178384641856784,0,35.0,39.0,35.0,38.0,1.0,2.0,2.0,1.0
