%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706616007874301910,0,48.0,51.0,61.0,46.0
1706616007905849607,0,49.0,52.0,62.0,46.0
1706616007935992530,0,49.0,51.0,62.0,43.0
1706616007967344988,0,50.0,52.0,61.0,42.0
1706616007997401374,0,51.0,50.0,60.0,42.0
1706616008031224817,0,52.0,49.0,60.0,44.0
1706616008059335137,0,52.0,50.0,62.0,48.0
1706616008089246960,0,51.0,51.0,62.0,49.0
1706616008120482504,0,51.0,51.0,62.0,48.0
1706616008151967375,0,50.0,50.0,60.0,45.0
1706616008182580535,0,50.0,50.0,59.0,46.0
1706616008213275479,0,50.0,51.0,59.0,48.0
1706616008244041501,0,50.0,51.0,55.0,51.0
1706616008274375357,0,48.0,51.0,54.0,50.0
1706616008306653091,0,48.0,51.0,52.0,51.0
1706616008338930179,0,48.0,52.0,54.0,51.0
1706616008366889364,0,50.0,54.0,54.0,55.0
1706616008399583160,0,50.0,54.0,54.0,56.0
1706616008429786587,0,50.0,56.0,54.0,56.0
1706616008460175134,0,51.0,56.0,54.0,53.0
1706616008491963386,0,54.0,56.0,54.0,53.0
1706616008521887100,0,55.0,54.0,54.0,53.0
1706616008552114292,0,56.0,53.0,54.0,54.0
1706616008583846328,0,56.0,52.0,54.0,56.0
1706616008614245324,0,57.0,53.0,55.0,58.0
1706616008645732145,0,58.0,52.0,54.0,59.0
1706616008676132471,0,61.0,54.0,55.0,58.0
1706616008707112886,0,63.0,54.0,54.0,60.0
1706616008737826556,0,63.0,55.0,54.0,60.0
1706616008768202402,0,64.0,55.0,54.0,62.0
1706616008799328858,0,64.0,54.0,54.0,62.0
1706616008830493861,0,66.0,54.0,55.0,66.0
1706616008860577106,0,67.0,53.0,54.0,67.0
1706616008891620374,0,68.0,52.0,53.0,67.0
1706616008922242425,0,69.0,51.0,53.0,66.0
1706616008953807126,0,71.0,52.0,55.0,68.0
1706616008985151373,0,72.0,55.0,55.0,70.0
1706616009016036983,0,74.0,55.0,55.0,72.0
1706616009045896455,0,73.0,54.0,54.0,73.0
1706616009077980057,0,75.0,52.0,54.0,74.0
1706616009108769243,0,78.0,53.0,55.0,74.0
1706616009139050474,0,81.0,52.0,55.0,74.0
1706616009172824975,0,82.0,50.0,55.0,74.0
1706616009200334903,0,81.0,50.0,54.0,73.0
1706616009231795877,0,80.0,53.0,54.0,73.0
1706616009262654181,0,81.0,55.0,55.0,74.0
1706616009293046080,0,80.0,57.0,54.0,74.0
1706616009324331978,0,79.0,56.0,55.0,76.0
1706616009354314871,0,79.0,54.0,56.0,75.0
1706616009385227789,0,78.0,54.0,57.0,71.0
1706616009417154874,0,77.0,53.0,56.0,67.0
1706616009447067091,0,75.0,55.0,56.0,66.0
1706616009478117008,0,72.0,55.0,56.0,66.0
1706616009509134567,0,72.0,54.0,56.0,65.0
1706616009539508182,0,73.0,54.0,57.0,63.0
1706616009571644148,0,74.0,54.0,57.0,62.0
1706616009602217147,0,73.0,54.0,57.0,59.0
1706616009632396051,0,73.0,53.0,57.0,58.0
1706616009663347593,0,74.0,54.0,57.0,58.0
1706616009694656986,0,75.0,54.0,56.0,60.0
1706616009724729742,0,74.0,53.0,57.0,63.0
1706616009755743050,0,73.0,52.0,57.0,64.0
1706616009786717252,0,73.0,52.0,57.0,67.0
1706616009816986281,0,74.0,53.0,56.0,69.0
1706616009847554286,0,74.0,52.0,57.0,71.0
1706616009878249359,0,75.0,52.0,58.0,71.0
1706616009909465609,0,76.0,52.0,57.0,70.0
1706616009939967551,0,76.0,53.0,56.0,69.0
1706616009971870664,0,75.0,54.0,55.0,70.0
1706616010002669048,0,74.0,55.0,56.0,69.0
1706616010033627159,0,73.0,55.0,56.0,70.0
1706616010063703549,0,72.0,56.0,55.0,69.0
1706616010093957245,0,72.0,55.0,55.0,68.0
1706616010125950816,0,72.0,55.0,54.0,66.0
1706616010163318944,0,73.0,54.0,55.0,67.0
1706616010187207709,0,73.0,55.0,55.0,68.0
1706616010218295568,0,73.0,56.0,56.0,68.0
1706616010249637474,0,72.0,56.0,56.0,67.0
1706616010280399115,0,71.0,56.0,57.0,66.0
1706616010311305416,0,71.0,55.0,56.0,65.0
1706616010344694518,0,70.0,55.0,57.0,67.0
1706616010373130307,0,70.0,53.0,57.0,67.0
1706616010404309280,0,71.0,54.0,58.0,67.0
1706616010437052670,0,72.0,56.0,58.0,66.0
1706616010465336655,0,72.0,59.0,57.0,65.0
1706616010499712903,0,72.0,57.0,57.0,65.0
1706616010526952784,0,72.0,54.0,57.0,69.0
1706616010558497978,0,74.0,52.0,58.0,72.0
1706616010587965058,0,74.0,50.0,57.0,71.0
1706616010618787335,0,74.0,50.0,56.0,69.0
1706616010649630634,0,73.0,51.0,56.0,70.0
1706616010681195346,0,72.0,50.0,57.0,72.0
1706616010712131320,0,72.0,51.0,56.0,74.0
1706616010744142927,0,72.0,49.0,56.0,73.0
1706616010774465613,0,72.0,49.0,55.0,73.0
1706616010805265210,0,72.0,53.0,55.0,72.0
1706616010836206156,0,71.0,55.0,54.0,73.0
1706616010866557552,0,71.0,59.0,54.0,73.0
1706616010897398597,0,71.0,57.0,55.0,73.0
1706616010928867102,0,70.0,56.0,54.0,72.0
1706616010958663337,0,70.0,54.0,54.0,72.0
1706616010989620284,0,71.0,53.0,53.0,72.0
1706616011020496723,0,71.0,52.0,53.0,72.0
1706616011050452668,0,70.0,53.0,53.0,72.0
1706616011081660748,0,70.0,52.0,53.0,72.0
1706616011113614242,0,72.0,53.0,54.0,74.0
1706616011143338104,0,73.0,52.0,55.0,73.0
1706616011174889474,0,72.0,52.0,55.0,74.0
1706616011205633134,0,71.0,53.0,53.0,75.0
1706616011237691063,0,71.0,53.0,54.0,75.0
1706616011267328039,0,71.0,55.0,55.0,75.0
1706616011298293303,0,72.0,55.0,57.0,74.0
1706616011328400148,0,72.0,57.0,57.0,72.0
1706616011359566774,0,71.0,55.0,57.0,68.0
1706616011390039240,0,66.0,54.0,54.0,65.0
1706616011421145175,0,62.0,53.0,54.0,65.0
1706616011452605293,0,59.0,55.0,53.0,64.0
1706616011482427044,0,57.0,56.0,55.0,62.0
1706616011514380419,0,56.0,57.0,54.0,59.0
1706616011546287287,0,55.0,57.0,54.0,57.0
1706616011575851934,0,55.0,56.0,54.0,56.0
1706616011606546177,0,55.0,56.0,55.0,55.0
1706616011637220823,0,56.0,55.0,56.0,55.0
1706616011668270256,0,56.0,55.0,56.0,56.0
1706616011700101409,0,54.0,53.0,57.0,57.0
1706616011729687685,0,53.0,53.0,57.0,58.0
1706616011761587621,0,53.0,52.0,57.0,58.0
1706616011791802811,0,53.0,54.0,58.0,58.0
1706616011822506946,0,52.0,56.0,58.0,59.0
1706616011854495814,0,50.0,58.0,60.0,58.0
1706616011884700700,0,50.0,58.0,60.0,57.0
1706616011915224637,0,51.0,56.0,61.0,56.0
1706616011945439122,0,51.0,55.0,61.0,55.0
1706616011976790236,0,51.0,55.0,60.0,55.0
1706616012008059558,0,50.0,55.0,61.0,53.0
1706616012038453002,0,50.0,53.0,60.0,53.0
1706616012068769405,0,50.0,53.0,61.0,51.0
1706616012100213067,0,51.0,52.0,56.0,50.0
1706616012130627452,0,54.0,57.0,55.0,49.0
1706616012162533014,0,58.0,60.0,53.0,48.0
1706616012192858948,0,60.0,66.0,54.0,47.0
1706616012224516341,0,59.0,68.0,54.0,48.0
1706616012254769930,0,59.0,71.0,54.0,47.0
1706616012285256289,0,58.0,68.0,54.0,47.0
1706616012316925793,0,59.0,66.0,55.0,46.0
1706616012347605274,0,57.0,63.0,55.0,48.0
1706616012378339347,0,55.0,63.0,56.0,48.0
1706616012409264717,0,53.0,61.0,56.0,48.0
1706616012440622245,0,52.0,61.0,55.0,47.0
1706616012470925627,0,50.0,60.0,55.0,46.0
1706616012501408366,0,51.0,61.0,54.0,46.0
1706616012532090819,0,52.0,61.0,53.0,46.0
1706616012562418647,0,54.0,60.0,52.0,47.0
1706616012593101863,0,55.0,60.0,53.0,48.0
1706616012624158697,0,55.0,61.0,55.0,48.0
1706616012654718638,0,55.0,62.0,56.0,48.0
1706616012688054884,0,53.0,61.0,56.0,48.0
1706616012717600567,0,53.0,60.0,56.0,49.0
1706616012748404420,0,51.0,59.0,56.0,49.0
1706616012779497221,0,51.0,59.0,56.0,48.0
1706616012809457993,0,52.0,60.0,57.0,49.0
1706616012840886744,0,53.0,60.0,57.0,47.0
1706616012870583694,0,53.0,60.0,57.0,46.0
1706616012901809319,0,53.0,59.0,56.0,46.0
1706616012933292902,0,53.0,58.0,55.0,47.0
1706616012967486324,0,53.0,59.0,55.0,47.0
1706616012995085152,0,53.0,59.0,56.0,47.0
1706616013025636026,0,51.0,60.0,57.0,48.0
1706616013056271403,0,51.0,59.0,58.0,48.0
1706616013087325291,0,51.0,58.0,57.0,47.0
1706616013119225114,0,52.0,58.0,58.0,47.0
1706616013149896946,0,52.0,58.0,57.0,48.0
1706616013180245624,0,53.0,59.0,56.0,50.0
1706616013211647807,0,53.0,58.0,55.0,51.0
1706616013242415739,0,53.0,59.0,55.0,52.0
1706616013273221924,0,53.0,58.0,54.0,51.0
1706616013303806038,0,54.0,59.0,54.0,51.0
1706616013335727847,0,54.0,58.0,54.0,50.0
1706616013365870569,0,54.0,58.0,55.0,49.0
1706616013396589583,0,54.0,58.0,56.0,49.0
1706616013427984097,0,53.0,60.0,54.0,51.0
1706616013457721518,0,53.0,58.0,53.0,52.0
1706616013489118557,0,52.0,57.0,51.0,53.0
1706616013520291947,0,51.0,57.0,52.0,52.0
1706616013551381971,0,51.0,58.0,52.0,52.0
1706616013581721514,0,50.0,58.0,52.0,52.0
1706616013612072000,0,52.0,57.0,53.0,52.0
1706616013643899161,0,51.0,57.0,55.0,52.0
1706616013673080866,0,51.0,58.0,55.0,52.0
1706616013705459725,0,51.0,58.0,54.0,52.0
1706616013736476970,0,51.0,58.0,52.0,51.0
1706616013766775651,0,52.0,57.0,51.0,50.0
1706616013798458985,0,51.0,59.0,52.0,50.0
1706616013828441200,0,52.0,59.0,51.0,50.0
1706616013859382484,0,52.0,59.0,51.0,51.0
1706616013890871680,0,52.0,58.0,52.0,52.0
1706616013921730651,0,51.0,57.0,53.0,52.0
1706616013953755233,0,51.0,58.0,54.0,52.0
1706616013983229490,0,52.0,58.0,52.0,52.0
1706616014014381395,0,52.0,60.0,51.0,52.0
1706616014043755572,0,52.0,60.0,51.0,52.0
1706616014075623749,0,51.0,59.0,51.0,53.0
1706616014107581664,0,51.0,57.0,52.0,53.0
1706616014137347819,0,51.0,56.0,51.0,53.0
1706616014168650089,0,51.0,57.0,52.0,53.0
1706616014198982846,0,51.0,58.0,53.0,53.0
1706616014229196388,0,52.0,58.0,52.0,53.0
1706616014260058925,0,52.0,58.0,51.0,51.0
1706616014291143900,0,52.0,57.0,50.0,51.0
1706616014322234031,0,51.0,58.0,51.0,50.0
1706616014353142753,0,51.0,58.0,52.0,52.0
1706616014383882229,0,51.0,57.0,51.0,53.0
