%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706610291455234213,0,84.0,93.0,81.0,87.0
1706610291485682778,0,84.0,93.0,81.0,86.0
1706610291518206370,0,84.0,92.0,81.0,85.0
1706610291547057603,0,84.0,92.0,81.0,85.0
1706610291577479600,0,85.0,92.0,81.0,85.0
1706610291608891535,0,86.0,92.0,81.0,85.0
1706610291639870883,0,86.0,92.0,81.0,86.0
1706610291671306967,0,85.0,91.0,81.0,87.0
1706610291702496229,0,84.0,92.0,80.0,88.0
1706610291733302423,0,83.0,92.0,81.0,87.0
1706610291764447269,0,84.0,92.0,81.0,86.0
1706610291796573468,0,84.0,90.0,82.0,86.0
1706610291826644182,0,84.0,91.0,81.0,87.0
1706610291857053122,0,84.0,92.0,82.0,88.0
1706610291887646264,0,83.0,92.0,82.0,88.0
1706610291919241243,0,83.0,92.0,81.0,89.0
1706610291950027553,0,83.0,91.0,80.0,88.0
1706610291981864910,0,84.0,91.0,80.0,87.0
1706610292011517545,0,84.0,91.0,81.0,87.0
1706610292042147922,0,83.0,92.0,82.0,88.0
1706610292073301871,0,84.0,92.0,81.0,88.0
1706610292103189519,0,84.0,92.0,81.0,88.0
1706610292134080990,0,84.0,92.0,80.0,87.0
1706610292164615993,0,84.0,92.0,80.0,86.0
1706610292195872620,0,85.0,91.0,80.0,85.0
1706610292227563286,0,85.0,92.0,80.0,87.0
1706610292258842697,0,85.0,93.0,81.0,88.0
1706610292289071356,0,85.0,94.0,81.0,88.0
1706610292320962965,0,84.0,93.0,81.0,87.0
1706610292351300845,0,84.0,93.0,80.0,86.0
1706610292381788032,0,83.0,93.0,80.0,87.0
1706610292412170547,0,84.0,93.0,80.0,86.0
1706610292443114665,0,85.0,92.0,81.0,86.0
1706610292474774839,0,84.0,92.0,82.0,86.0
1706610292505309690,0,84.0,92.0,82.0,87.0
1706610292536592449,0,83.0,92.0,82.0,87.0
1706610292567829401,0,84.0,93.0,81.0,87.0
1706610292598231923,0,84.0,94.0,80.0,88.0
1706610292630900970,0,84.0,93.0,81.0,89.0
1706610292660863293,0,84.0,93.0,80.0,89.0
1706610292690513860,0,84.0,93.0,80.0,89.0
1706610292722040793,0,84.0,93.0,80.0,88.0
1706610292753850805,0,84.0,93.0,81.0,89.0
1706610292784237726,0,85.0,92.0,81.0,89.0
1706610292815192460,0,85.0,92.0,82.0,89.0
1706610292846132557,0,85.0,92.0,81.0,88.0
1706610292876563789,0,85.0,92.0,81.0,88.0
1706610292907552089,0,84.0,92.0,81.0,87.0
1706610292951973309,0,85.0,92.0,80.0,87.0
1706610292968087935,0,85.0,93.0,81.0,87.0
1706610292999206841,0,85.0,93.0,80.0,87.0
1706610293031672597,0,85.0,93.0,81.0,87.0
1706610293064458486,0,84.0,93.0,81.0,86.0
1706610293092648629,0,84.0,91.0,81.0,86.0
1706610293123820311,0,84.0,91.0,81.0,86.0
1706610293154488698,0,84.0,92.0,81.0,86.0
1706610293184815879,0,85.0,93.0,80.0,85.0
1706610293216939045,0,85.0,93.0,80.0,85.0
1706610293247529547,0,86.0,93.0,80.0,86.0
1706610293277962911,0,85.0,92.0,81.0,88.0
1706610293309065406,0,86.0,93.0,81.0,89.0
1706610293339859184,0,84.0,93.0,82.0,89.0
1706610293370083132,0,84.0,93.0,81.0,90.0
1706610293401245746,0,84.0,94.0,81.0,90.0
1706610293432632560,0,84.0,93.0,80.0,89.0
1706610293463712767,0,84.0,93.0,81.0,88.0
1706610293494085877,0,85.0,93.0,81.0,88.0
1706610293525237338,0,85.0,93.0,80.0,88.0
1706610293556430655,0,85.0,94.0,80.0,87.0
1706610293588520029,0,86.0,92.0,80.0,86.0
1706610293617669960,0,85.0,92.0,81.0,86.0
1706610293649710609,0,86.0,91.0,81.0,87.0
1706610293680229775,0,84.0,92.0,81.0,86.0
1706610293710638558,0,84.0,93.0,81.0,87.0
1706610293742054133,0,84.0,93.0,81.0,86.0
1706610293772577435,0,84.0,92.0,80.0,86.0
1706610293804392653,0,84.0,91.0,80.0,86.0
1706610293834780610,0,83.0,92.0,81.0,85.0
1706610293865450184,0,83.0,93.0,81.0,85.0
1706610293896914160,0,83.0,93.0,81.0,86.0
1706610293926596003,0,84.0,92.0,81.0,87.0
1706610293957083845,0,85.0,92.0,81.0,88.0
1706610293987848112,0,85.0,92.0,81.0,88.0
1706610294019464895,0,85.0,93.0,81.0,88.0
1706610294050596183,0,84.0,92.0,82.0,88.0
1706610294081627985,0,84.0,92.0,82.0,87.0
1706610294112681936,0,85.0,92.0,82.0,87.0
1706610294143398605,0,84.0,93.0,82.0,85.0
1706610294174900653,0,84.0,94.0,83.0,87.0
1706610294205538479,0,84.0,93.0,82.0,87.0
1706610294235843561,0,84.0,92.0,82.0,89.0
1706610294266888025,0,84.0,92.0,81.0,88.0
1706610294297724963,0,84.0,93.0,81.0,87.0
1706610294328889266,0,83.0,92.0,81.0,86.0
1706610294360196950,0,84.0,92.0,81.0,86.0
1706610294390549018,0,84.0,92.0,81.0,87.0
1706610294421469668,0,84.0,93.0,81.0,87.0
1706610294455495984,0,85.0,93.0,81.0,87.0
1706610294482705568,0,85.0,92.0,81.0,87.0
1706610294513846932,0,84.0,91.0,80.0,86.0
1706610294545438094,0,84.0,92.0,80.0,86.0
1706610294577073785,0,84.0,92.0,81.0,88.0
