%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706615884435062450,0,47.0,50.0,56.0,45.0
1706615884463357063,0,48.0,50.0,56.0,44.0
1706615884494360440,0,47.0,52.0,56.0,45.0
1706615884526791376,0,46.0,53.0,56.0,46.0
1706615884557806875,0,46.0,52.0,56.0,45.0
1706615884587434182,0,46.0,52.0,56.0,46.0
1706615884620447841,0,46.0,51.0,57.0,44.0
1706615884649624373,0,46.0,51.0,57.0,46.0
1706615884680557320,0,47.0,51.0,56.0,45.0
1706615884711462214,0,48.0,51.0,56.0,45.0
1706615884742549975,0,47.0,51.0,57.0,42.0
1706615884773895849,0,47.0,52.0,56.0,43.0
1706615884804459989,0,45.0,53.0,55.0,43.0
1706615884833947954,0,46.0,52.0,55.0,44.0
1706615884866373196,0,44.0,52.0,56.0,44.0
1706615884896458848,0,46.0,52.0,56.0,44.0
1706615884928106546,0,47.0,52.0,56.0,45.0
1706615884958882699,0,47.0,52.0,56.0,45.0
1706615884989416743,0,47.0,52.0,57.0,44.0
1706615885020453614,0,47.0,52.0,56.0,44.0
1706615885051519349,0,47.0,52.0,56.0,44.0
1706615885082468716,0,46.0,51.0,56.0,44.0
1706615885112938146,0,47.0,52.0,57.0,43.0
1706615885143322193,0,46.0,52.0,56.0,42.0
1706615885173733344,0,47.0,52.0,56.0,43.0
1706615885206087777,0,46.0,52.0,55.0,45.0
1706615885236033134,0,46.0,51.0,55.0,45.0
1706615885267320678,0,45.0,52.0,55.0,44.0
1706615885298942022,0,46.0,51.0,56.0,45.0
1706615885329538059,0,48.0,51.0,56.0,45.0
1706615885361633404,0,48.0,51.0,58.0,45.0
1706615885390394578,0,48.0,52.0,58.0,43.0
1706615885421425710,0,47.0,53.0,57.0,44.0
1706615885452774681,0,48.0,52.0,55.0,44.0
1706615885484099613,0,48.0,52.0,56.0,44.0
1706615885514603308,0,48.0,53.0,57.0,42.0
1706615885546768653,0,48.0,52.0,56.0,43.0
1706615885576049521,0,48.0,52.0,56.0,43.0
1706615885607510806,0,47.0,53.0,55.0,44.0
1706615885638568643,0,47.0,53.0,55.0,43.0
1706615885668387844,0,47.0,53.0,57.0,43.0
1706615885699468552,0,47.0,51.0,57.0,44.0
1706615885730554592,0,47.0,52.0,58.0,44.0
1706615885761152517,0,47.0,52.0,58.0,45.0
1706615885792774813,0,47.0,52.0,57.0,45.0
1706615885823004559,0,47.0,53.0,58.0,44.0
1706615885854077725,0,47.0,53.0,57.0,44.0
1706615885885701297,0,48.0,53.0,57.0,44.0
1706615885915846257,0,48.0,53.0,56.0,44.0
1706615885947200565,0,48.0,52.0,56.0,42.0
1706615885978702234,0,48.0,52.0,55.0,41.0
1706615886008711018,0,47.0,52.0,55.0,43.0
1706615886039902722,0,47.0,54.0,55.0,44.0
