%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706614932612254612,0,51.0,50.0,57.0,49.0
1706614932642088427,0,51.0,52.0,56.0,49.0
1706614932673301752,0,51.0,51.0,56.0,50.0
1706614932704907537,0,51.0,51.0,56.0,50.0
1706614932735213451,0,50.0,50.0,57.0,50.0
1706614932766013151,0,50.0,50.0,57.0,49.0
1706614932797195890,0,50.0,52.0,55.0,49.0
1706614932827114836,0,50.0,51.0,55.0,49.0
1706614932858765815,0,51.0,52.0,55.0,49.0
1706614932889502896,0,50.0,51.0,57.0,50.0
1706614932920048241,0,51.0,51.0,57.0,49.0
1706614932950599371,0,52.0,51.0,56.0,49.0
1706614932981724388,0,52.0,52.0,56.0,49.0
1706614933011755325,0,52.0,52.0,56.0,50.0
1706614933043010891,0,52.0,51.0,56.0,51.0
1706614933073819305,0,52.0,51.0,57.0,49.0
1706614933105203189,0,51.0,51.0,58.0,49.0
1706614933135758037,0,51.0,50.0,59.0,48.0
1706614933165579404,0,51.0,49.0,56.0,48.0
1706614933196400807,0,50.0,49.0,55.0,47.0
1706614933228260399,0,51.0,50.0,54.0,47.0
1706614933259008846,0,52.0,51.0,56.0,48.0
1706614933290861183,0,52.0,52.0,58.0,50.0
1706614933320442390,0,52.0,52.0,57.0,50.0
1706614933351869892,0,51.0,51.0,56.0,50.0
1706614933381794962,0,51.0,51.0,55.0,48.0
1706614933413568019,0,52.0,50.0,57.0,49.0
1706614933443836756,0,52.0,50.0,58.0,49.0
1706614933474717304,0,52.0,49.0,57.0,50.0
1706614933506043392,0,52.0,49.0,56.0,50.0
1706614933538719689,0,52.0,50.0,56.0,50.0
1706614933566651561,0,52.0,51.0,56.0,50.0
1706614933597774901,0,49.0,51.0,57.0,49.0
1706614933629531237,0,49.0,52.0,56.0,50.0
1706614933659254144,0,48.0,51.0,56.0,50.0
1706614933689884572,0,50.0,52.0,55.0,50.0
1706614933721499760,0,51.0,51.0,56.0,50.0
1706614933752728717,0,51.0,52.0,57.0,49.0
1706614933783255402,0,50.0,51.0,58.0,49.0
1706614933814990046,0,50.0,51.0,57.0,49.0
1706614933845454576,0,51.0,50.0,58.0,48.0
1706614933874934969,0,52.0,51.0,57.0,47.0
1706614933907126019,0,51.0,49.0,57.0,48.0
1706614933937262870,0,51.0,50.0,56.0,49.0
1706614933968286768,0,50.0,50.0,55.0,50.0
1706614933998858304,0,50.0,51.0,55.0,50.0
1706614934030120894,0,50.0,49.0,56.0,50.0
1706614934060992403,0,50.0,49.0,56.0,49.0
1706614934090986456,0,50.0,49.0,56.0,48.0
1706614934121991030,0,50.0,51.0,56.0,48.0
1706614934153365023,0,51.0,50.0,57.0,49.0
1706614934183133137,0,50.0,50.0,57.0,49.0
1706614934214475816,0,50.0,49.0,58.0,50.0
1706614934245171693,0,50.0,50.0,57.0,49.0
1706614934275693329,0,51.0,51.0,56.0,48.0
1706614934307054134,0,51.0,52.0,55.0,49.0
1706614934337410485,0,50.0,53.0,55.0,49.0
1706614934368071067,0,50.0,52.0,54.0,50.0
1706614934399674917,0,50.0,51.0,56.0,49.0
1706614934429732562,0,50.0,50.0,57.0,50.0
1706614934460893442,0,51.0,51.0,57.0,49.0
1706614934491897475,0,51.0,52.0,56.0,49.0
1706614934521645068,0,51.0,52.0,55.0,48.0
1706614934552908468,0,52.0,52.0,55.0,48.0
1706614934583628294,0,52.0,50.0,56.0,49.0
1706614934615809689,0,52.0,50.0,56.0,49.0
1706614934644882361,0,52.0,50.0,56.0,49.0
1706614934676387779,0,51.0,50.0,56.0,49.0
1706614934707960773,0,51.0,50.0,58.0,49.0
1706614934738822607,0,50.0,50.0,57.0,48.0
1706614934768914681,0,50.0,51.0,56.0,48.0
1706614934800348068,0,51.0,53.0,55.0,47.0
1706614934830691131,0,51.0,52.0,56.0,48.0
1706614934860949054,0,51.0,52.0,56.0,49.0
1706614934892742985,0,50.0,51.0,56.0,50.0
1706614934923201997,0,50.0,51.0,55.0,49.0
1706614934953385851,0,51.0,51.0,55.0,48.0
1706614934985214889,0,52.0,51.0,55.0,49.0
1706614935015514052,0,52.0,52.0,55.0,48.0
1706614935046085135,0,53.0,51.0,56.0,49.0
1706614935077652321,0,52.0,51.0,57.0,47.0
1706614935107730846,0,51.0,51.0,57.0,48.0
1706614935139427043,0,50.0,51.0,57.0,49.0
1706614935168940226,0,49.0,51.0,58.0,50.0
1706614935200918640,0,50.0,51.0,57.0,51.0
1706614935231752540,0,51.0,51.0,56.0,48.0
1706614935262150980,0,50.0,51.0,56.0,49.0
1706614935292923342,0,49.0,51.0,55.0,48.0
1706614935324249833,0,49.0,50.0,57.0,50.0
1706614935354799329,0,50.0,52.0,57.0,49.0
1706614935385190731,0,51.0,52.0,58.0,49.0
1706614935416437716,0,50.0,52.0,56.0,49.0
1706614935446548425,0,50.0,51.0,57.0,50.0
1706614935477733046,0,50.0,50.0,57.0,50.0
