%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709570695108823231,0,26.0,28.0,33.0,24.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695133212373,0,33.0,27.0,26.0,24.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695161657973,0,26.0,26.0,26.0,23.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695185100774,0,28.0,27.0,27.0,25.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695213470727,0,26.0,25.0,35.0,25.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695236698315,0,26.0,29.0,26.0,25.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695260137319,0,25.0,35.0,27.0,26.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695284695792,0,33.0,32.0,30.0,32.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695312688673,0,26.0,27.0,27.0,26.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695337338157,0,27.0,26.0,31.0,33.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695360115174,0,34.0,27.0,26.0,24.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695385020584,0,26.0,26.0,27.0,28.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695409638081,0,33.0,26.0,27.0,30.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695438082440,0,27.0,24.0,26.0,25.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695462707084,0,26.0,27.0,25.0,24.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695486497285,0,28.0,26.0,27.0,23.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695511049868,0,34.0,30.0,33.0,25.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695535686649,0,26.0,27.0,26.0,26.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695560120291,0,26.0,27.0,33.0,26.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
1709570695588504574,0,34.0,27.0,26.0,25.0,35.87810134887695,31.28899383544922,27.89929962158203,27.080001831054688
