%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709554831533733105,0,26.0,29.0,28.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831561916384,0,26.0,27.0,35.0,25.0,34.1266975402832,31.012393951416016,30.56209945678711,27.50400161743164
1709554831587998825,0,25.0,26.0,26.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831611767367,0,34.0,28.0,26.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831636123199,0,34.0,27.0,26.0,28.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831661474919,0,27.0,35.0,26.0,27.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831685739085,0,25.0,27.0,34.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831714444302,0,27.0,25.0,26.0,27.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831739704464,0,25.0,24.0,27.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831763029928,0,30.0,27.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831787894337,0,26.0,34.0,28.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831812298037,0,25.0,26.0,28.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831841445587,0,26.0,26.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831865345147,0,28.0,27.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831890173723,0,26.0,27.0,27.0,26.0,34.1266975402832,31.012393951416016,30.56209945678711,27.50400161743164
1709554831914873564,0,28.0,28.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831939118361,0,26.0,27.0,28.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831963960153,0,26.0,26.0,28.0,32.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554831991889315,0,34.0,27.0,27.0,33.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832016848544,0,27.0,24.0,26.0,34.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832040856599,0,26.0,25.0,27.0,33.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832064819149,0,25.0,25.0,26.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832089676168,0,26.0,35.0,37.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832118425501,0,26.0,27.0,27.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832142987360,0,35.0,25.0,27.0,23.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832167858777,0,27.0,27.0,27.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832192519867,0,25.0,27.0,26.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832216879598,0,26.0,27.0,35.0,27.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832241123271,0,27.0,26.0,33.0,26.0,34.1266975402832,31.012393951416016,30.56209945678711,27.50400161743164
1709554832269842868,0,26.0,27.0,27.0,23.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832294049242,0,31.0,27.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832319190691,0,35.0,26.0,27.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832343191125,0,27.0,27.0,28.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832368291187,0,31.0,27.0,25.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832392532507,0,26.0,26.0,27.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832420440315,0,26.0,27.0,26.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832445550216,0,25.0,36.0,27.0,35.0,34.02939987182617,31.012393951416016,30.466999053955078,27.50400161743164
1709554832470388391,0,28.0,27.0,28.0,35.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832494695298,0,26.0,25.0,28.0,33.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832518695523,0,34.0,26.0,26.0,34.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832547789137,0,26.0,27.0,27.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832572524430,0,25.0,27.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832596526608,0,25.0,27.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832621684722,0,28.0,26.0,30.0,23.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832645634134,0,26.0,27.0,26.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832670429428,0,35.0,27.0,27.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832699488177,0,35.0,28.0,26.0,26.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832722751845,0,26.0,25.0,27.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832748163945,0,26.0,32.0,35.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832772598039,0,27.0,28.0,34.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832796794209,0,26.0,27.0,27.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832821019072,0,25.0,26.0,25.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832849661309,0,28.0,27.0,27.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832874539307,0,25.0,35.0,28.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832898785048,0,30.0,27.0,26.0,24.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832923872762,0,26.0,27.0,25.0,25.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832947869051,0,26.0,28.0,27.0,27.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554832976368648,0,38.0,37.0,36.0,45.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554833001400938,0,36.0,40.0,46.0,48.0,34.1266975402832,31.012393951416016,30.56209945678711,27.50400161743164
1709554833025236581,0,46.0,32.0,49.0,44.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554833050400193,0,46.0,32.0,37.0,36.0,34.1266975402832,30.36699676513672,30.466999053955078,28.881999969482422
1709554833074319583,0,41.0,64.0,50.0,48.0,34.1266975402832,31.012393951416016,30.56209945678711,27.50400161743164
1709554833099699065,0,50.0,41.0,49.0,43.0,34.1266975402832,31.012393951416016,30.466999053955078,27.18600082397461
1709554833127061134,0,40.0,32.0,43.0,44.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
1709554833152551141,0,40.0,50.0,44.0,49.0,34.1266975402832,31.012393951416016,30.466999053955078,27.50400161743164
