%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709554753901295647,0,28.0,26.0,26.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554753923638864,0,28.0,28.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554753947610104,0,26.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554753971949851,0,29.0,28.0,27.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754001078793,0,26.0,27.0,29.0,26.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554754028786599,0,27.0,27.0,29.0,25.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554754051179200,0,24.0,27.0,25.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754076045356,0,26.0,28.0,27.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754101617786,0,28.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754126265341,0,26.0,29.0,26.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754155346455,0,26.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754180075096,0,28.0,27.0,26.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754204846998,0,26.0,27.0,28.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754230313263,0,29.0,25.0,26.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754255129093,0,25.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754281230962,0,25.0,27.0,34.0,26.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554754308660001,0,28.0,26.0,26.0,30.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754334299913,0,26.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754359445650,0,28.0,26.0,26.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754385105639,0,26.0,27.0,28.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754409731198,0,33.0,27.0,27.0,35.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754438191057,0,28.0,26.0,32.0,26.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554754462622388,0,26.0,26.0,36.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754488480340,0,28.0,27.0,24.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754512707247,0,25.0,27.0,27.0,33.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754538119725,0,31.0,27.0,26.0,35.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754563567805,0,28.0,27.0,27.0,27.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754592037862,0,26.0,27.0,27.0,27.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754616926494,0,28.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754641626204,0,26.0,26.0,32.0,34.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754667666127,0,25.0,28.0,28.0,29.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754692185620,0,27.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754716415209,0,25.0,26.0,25.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754745334996,0,28.0,27.0,27.0,32.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754770042412,0,26.0,27.0,25.0,35.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754794912405,0,26.0,26.0,27.0,27.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754819627792,0,27.0,26.0,28.0,25.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554754844585069,0,25.0,26.0,27.0,23.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754873593743,0,28.0,26.0,26.0,33.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754898637912,0,27.0,28.0,27.0,35.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754923770175,0,27.0,27.0,24.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754948738670,0,26.0,28.0,27.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754973627136,0,26.0,24.0,25.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554754998755291,0,28.0,27.0,27.0,33.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755027686812,0,26.0,27.0,28.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755052542063,0,26.0,28.0,28.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755077482337,0,28.0,27.0,35.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755102365988,0,25.0,27.0,36.0,26.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554755128023991,0,27.0,26.0,26.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755153501348,0,23.0,27.0,26.0,25.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755182668116,0,25.0,25.0,27.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755207594344,0,28.0,28.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755232786552,0,26.0,25.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755257302042,0,29.0,27.0,35.0,25.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554755282291427,0,26.0,26.0,29.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755311605580,0,25.0,27.0,27.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755335565161,0,26.0,25.0,25.0,26.0,35.48889923095703,33.40959548950195,27.80419921875,27.080001831054688
1709554755361876360,0,26.0,26.0,27.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755386214707,0,27.0,27.0,26.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755411119477,0,26.0,26.0,26.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755435624355,0,26.0,28.0,27.0,24.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
1709554755464745964,0,28.0,27.0,26.0,26.0,35.391597747802734,33.40959548950195,27.80419921875,27.080001831054688
