%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709555042566990290,0,26.0,27.0,27.0,24.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042596989735,0,26.0,27.0,27.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042621681427,0,34.0,26.0,29.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042645591575,0,34.0,27.0,27.0,24.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042669504151,0,27.0,27.0,27.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042694391214,0,27.0,28.0,27.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042718433274,0,31.0,27.0,24.0,24.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042747250953,0,26.0,25.0,27.0,23.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042771837223,0,26.0,28.0,28.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042795512035,0,25.0,26.0,26.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042820302310,0,26.0,25.0,27.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042844763570,0,28.0,31.0,26.0,33.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042869714983,0,35.0,27.0,27.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042897905450,0,27.0,26.0,26.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042922062501,0,26.0,26.0,26.0,26.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042946975020,0,33.0,25.0,27.0,33.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042971243929,0,27.0,27.0,31.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555042996451681,0,26.0,34.0,27.0,24.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555043023997172,0,27.0,27.0,26.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
1709555043048558415,0,26.0,26.0,27.0,25.0,35.391597747802734,32.76419448852539,26.0,27.397998809814453
