%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709574098481394206,0,31.0,25.0,27.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098506092216,0,34.0,25.0,28.0,26.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098531532572,0,26.0,26.0,26.0,27.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098556096136,0,28.0,25.0,27.0,26.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098585325278,0,25.0,29.0,28.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098611183692,0,26.0,27.0,27.0,25.0,34.80780029296875,33.686195373535156,26.0,24.217998504638672
1709574098635709792,0,27.0,25.0,26.0,23.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098660923957,0,34.0,34.0,28.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098685888036,0,25.0,27.0,26.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098711070914,0,26.0,26.0,34.0,27.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098739488301,0,27.0,35.0,36.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098764681315,0,26.0,28.0,27.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098789576592,0,25.0,26.0,26.0,24.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098814661213,0,33.0,24.0,28.0,23.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098839123789,0,29.0,26.0,26.0,24.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098867738338,0,24.0,26.0,26.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098892804862,0,26.0,26.0,25.0,26.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098918411944,0,33.0,27.0,26.0,26.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098942800887,0,34.0,27.0,25.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098967638087,0,25.0,28.0,31.0,24.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574098993612417,0,26.0,27.0,26.0,24.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574099022560637,0,26.0,27.0,27.0,24.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574099047689578,0,24.0,35.0,35.0,25.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574099072252725,0,26.0,28.0,36.0,26.0,34.80780029296875,33.77839660644531,26.0,24.217998504638672
1709574099098005544,0,33.0,26.0,26.0,25.0,34.80780029296875,33.686195373535156,26.0,24.217998504638672
