%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709560461469242117,0,26.0,27.0,27.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461494056578,0,27.0,26.0,28.0,27.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461518959290,0,35.0,25.0,34.0,23.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461543573762,0,28.0,24.0,27.0,33.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461567927173,0,26.0,27.0,35.0,35.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461592132538,0,27.0,36.0,26.0,25.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461621108970,0,32.0,26.0,26.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461646043810,0,31.0,27.0,36.0,30.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461676527239,0,26.0,27.0,26.0,34.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461693797778,0,25.0,28.0,26.0,24.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461718586633,0,25.0,25.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461744002641,0,25.0,28.0,27.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461771240721,0,26.0,26.0,27.0,33.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461796362995,0,27.0,27.0,26.0,23.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461820164720,0,26.0,26.0,25.0,25.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461845187239,0,27.0,26.0,25.0,23.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461868787392,0,25.0,30.0,27.0,25.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461893930820,0,27.0,27.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461922344660,0,25.0,26.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461947558615,0,25.0,25.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560461974202009,0,27.0,34.0,35.0,25.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560461996955551,0,36.0,27.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462021348730,0,26.0,28.0,25.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462045121287,0,27.0,27.0,35.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462073192256,0,26.0,27.0,26.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462097986943,0,35.0,25.0,26.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462122705218,0,26.0,27.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462146605123,0,28.0,26.0,25.0,26.0,34.80780029296875,32.48759460449219,26.0,27.50400161743164
1709560462171161333,0,26.0,27.0,24.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462200745521,0,26.0,26.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462224447772,0,26.0,26.0,26.0,23.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462248590270,0,29.0,34.0,27.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462273746897,0,26.0,27.0,26.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462297727713,0,27.0,27.0,27.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462322525258,0,27.0,27.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462350629233,0,35.0,32.0,28.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462375089378,0,26.0,25.0,28.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462399405840,0,28.0,28.0,28.0,24.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462423964215,0,27.0,26.0,28.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462448800884,0,34.0,28.0,36.0,26.0,34.90509796142578,32.3953971862793,26.0,27.50400161743164
1709560462474515497,0,26.0,25.0,25.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462501954175,0,28.0,25.0,26.0,34.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462527022793,0,26.0,26.0,26.0,27.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462551238482,0,29.0,27.0,26.0,26.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462574511837,0,27.0,26.0,27.0,25.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462599070991,0,36.0,27.0,25.0,33.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
1709560462623817267,0,26.0,25.0,27.0,35.0,34.80780029296875,32.3953971862793,26.0,27.50400161743164
