%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709560139377898312,0,24.0,27.0,25.0,25.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139406116576,0,35.0,27.0,26.0,24.0,33.44559860229492,29.62939453125,26.0,27.821998596191406
1709560139430390067,0,26.0,28.0,28.0,25.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139455079487,0,26.0,27.0,25.0,24.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139479338010,0,27.0,25.0,27.0,25.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139503752638,0,34.0,27.0,26.0,34.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139532655033,0,25.0,26.0,32.0,26.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139557787876,0,25.0,35.0,26.0,25.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139581750044,0,27.0,34.0,27.0,24.0,33.44559860229492,29.62939453125,26.0,27.821998596191406
1709560139606969719,0,27.0,27.0,26.0,33.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139630834062,0,26.0,26.0,26.0,24.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139656157717,0,27.0,27.0,27.0,26.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139684501458,0,27.0,26.0,28.0,25.0,33.34830093383789,29.62939453125,26.0,27.715999603271484
1709560139708921425,0,26.0,26.0,28.0,27.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139733291044,0,26.0,26.0,26.0,34.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139758326479,0,27.0,26.0,27.0,26.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139782118600,0,26.0,28.0,26.0,24.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139806887651,0,28.0,25.0,25.0,26.0,33.44559860229492,29.62939453125,26.0,27.821998596191406
1709560139833500228,0,26.0,26.0,31.0,27.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139858171098,0,27.0,26.0,27.0,25.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139883067386,0,27.0,27.0,25.0,24.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139908476728,0,31.0,35.0,25.0,26.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
1709560139932466343,0,32.0,26.0,27.0,26.0,33.44559860229492,29.62939453125,26.0,27.715999603271484
