%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709563751911701951,0,28.0,25.0,26.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563751936033965,0,27.0,27.0,26.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563751969762536,0,28.0,25.0,28.0,33.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563751989533029,0,26.0,28.0,26.0,24.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752013705127,0,25.0,28.0,36.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752036493901,0,26.0,35.0,28.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752061458721,0,31.0,26.0,25.0,32.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752087489670,0,35.0,35.0,35.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752116169049,0,27.0,28.0,27.0,27.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752138906698,0,25.0,25.0,26.0,24.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752163014267,0,27.0,26.0,27.0,33.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752187260649,0,25.0,25.0,26.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752214247315,0,26.0,27.0,36.0,27.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752236621883,0,24.0,26.0,26.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752265703305,0,28.0,27.0,25.0,29.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752289927803,0,28.0,27.0,26.0,24.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752320432467,0,26.0,26.0,27.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752338037994,0,27.0,26.0,27.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752362128474,0,26.0,26.0,28.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752390232290,0,34.0,28.0,28.0,24.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752415205319,0,35.0,26.0,36.0,27.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752439497541,0,36.0,27.0,28.0,27.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752463979699,0,29.0,25.0,27.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752488205147,0,28.0,35.0,26.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752512549378,0,26.0,27.0,25.0,31.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752541596824,0,26.0,35.0,27.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752565108284,0,26.0,26.0,26.0,22.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752589592746,0,26.0,26.0,27.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752614621447,0,26.0,27.0,26.0,35.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752638620405,0,26.0,25.0,29.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752663550429,0,27.0,27.0,27.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752692395334,0,27.0,27.0,24.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752718065450,0,27.0,27.0,36.0,28.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752740899447,0,26.0,26.0,26.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752765163167,0,34.0,26.0,26.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752789240744,0,27.0,28.0,27.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752819327241,0,28.0,27.0,26.0,35.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752841676233,0,25.0,27.0,37.0,27.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752866479172,0,27.0,25.0,27.0,25.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752890815326,0,26.0,29.0,26.0,26.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
1709563752914850474,0,25.0,27.0,32.0,33.0,20.310794830322266,21.199996948242188,22.794395446777344,25.85700225830078
