%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709274543732494438,0,35.0,26.0,37.0,25.0,21.1011962890625,23.119998931884766,25.087596893310547,25.85700225830078
1709274543755909385,0,26.0,36.0,26.0,28.0,21.1011962890625,23.119998931884766,25.175796508789062,25.766002655029297
1709274543780337135,0,27.0,27.0,27.0,25.0,21.1011962890625,23.023998260498047,25.087596893310547,25.85700225830078
1709274543804842465,0,28.0,34.0,27.0,26.0,21.1011962890625,23.023998260498047,25.087596893310547,25.766002655029297
1709274543829753810,0,33.0,25.0,25.0,25.0,21.1011962890625,23.119998931884766,25.087596893310547,25.85700225830078
1709274543856913731,0,26.0,31.0,29.0,34.0,21.1011962890625,23.119998931884766,25.175796508789062,25.85700225830078
1709274543880137822,0,26.0,27.0,26.0,26.0,21.1011962890625,23.119998931884766,25.175796508789062,25.85700225830078
1709274543905456828,0,27.0,25.0,32.0,27.0,21.1011962890625,23.119998931884766,25.087596893310547,25.85700225830078
1709274543929711735,0,35.0,27.0,27.0,26.0,21.1011962890625,23.023998260498047,25.175796508789062,25.85700225830078
1709274543953627508,0,26.0,27.0,26.0,25.0,21.1011962890625,23.023998260498047,25.087596893310547,25.85700225830078
1709274543981722348,0,27.0,27.0,27.0,26.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
1709274544006248431,0,25.0,26.0,27.0,35.0,21.1011962890625,23.119998931884766,25.175796508789062,25.766002655029297
1709274544030385893,0,27.0,25.0,28.0,26.0,21.1011962890625,23.119998931884766,25.175796508789062,25.766002655029297
1709274544054468273,0,28.0,27.0,27.0,24.0,21.1011962890625,23.119998931884766,25.175796508789062,25.85700225830078
1709274544078437533,0,29.0,26.0,28.0,26.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
1709274544107411033,0,27.0,27.0,27.0,25.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
1709274544137000477,0,27.0,26.0,35.0,25.0,21.1011962890625,23.119998931884766,25.087596893310547,25.85700225830078
1709274544155210723,0,27.0,27.0,27.0,25.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
1709274544179947625,0,28.0,27.0,27.0,27.0,21.1011962890625,23.119998931884766,25.087596893310547,25.85700225830078
1709274544204070212,0,34.0,27.0,28.0,25.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
1709274544228288656,0,27.0,28.0,26.0,26.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
1709274544255926357,0,27.0,28.0,31.0,25.0,21.1011962890625,23.023998260498047,25.087596893310547,25.85700225830078
1709274544281038705,0,27.0,27.0,27.0,34.0,21.1011962890625,23.119998931884766,25.087596893310547,25.85700225830078
1709274544305189490,0,34.0,27.0,28.0,25.0,21.1011962890625,23.023998260498047,25.087596893310547,25.85700225830078
1709274544328686636,0,25.0,24.0,27.0,27.0,21.1011962890625,23.023998260498047,25.175796508789062,25.85700225830078
1709274544352336180,0,27.0,28.0,26.0,26.0,21.1011962890625,23.119998931884766,25.175796508789062,25.85700225830078
1709274544377316343,0,28.0,33.0,27.0,25.0,21.1011962890625,23.023998260498047,25.087596893310547,25.85700225830078
1709274544405329372,0,34.0,27.0,27.0,26.0,21.1011962890625,23.119998931884766,25.087596893310547,25.766002655029297
